fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,1.5,0.0,2,clusterwise_perm
0.0,0.0,1.5,0.1,2,clusterwise_perm
0.0,0.0,1.5,0.25,2,clusterwise_perm
0.0,0.0,1.5,0.5,2,clusterwise_perm
0.0,0.0,1.5,0.75,2,clusterwise_perm
0.0,0.0,1.5,1.0,2,clusterwise_perm
0.0,0.0,1.5,1.25,2,clusterwise_perm
0.0,0.0,1.5,1.5,2,clusterwise_perm
0.0,0.0,1.5,1.75,2,clusterwise_perm
0.0,0.0,1.5,2.0,2,clusterwise_perm
0.0,0.0,1.5,2.25,2,clusterwise_perm
0.0,0.0,1.5,2.5,2,clusterwise_perm
0.0,0.0,1.5,2.75,2,clusterwise_perm
0.0,0.0,1.5,3.0,2,clusterwise_perm
0.015,0.0,1.5,0.0,5,clusterwise_perm
0.015,0.0002932551319648094,1.5,0.1,5,clusterwise_perm
0.015,0.0030351906158357766,1.5,0.25,5,clusterwise_perm
0.01,0.033944281524926685,1.5,0.5,5,clusterwise_perm
0.015,0.08640762463343109,1.5,0.75,5,clusterwise_perm
0.02,0.10651026392961876,1.5,1.0,5,clusterwise_perm
0.015,0.12926686217008798,1.5,1.25,5,clusterwise_perm
0.02,0.12743401759530792,1.5,1.5,5,clusterwise_perm
0.01,0.1654692082111437,1.5,1.75,5,clusterwise_perm
0.02,0.18953079178885632,1.5,2.0,5,clusterwise_perm
0.025,0.17335777126099708,1.5,2.25,5,clusterwise_perm
0.015,0.17300586510263932,1.5,2.5,5,clusterwise_perm
0.02,0.18024926686217008,1.5,2.75,5,clusterwise_perm
0.01,0.17900293255131966,1.5,3.0,5,clusterwise_perm
0.06,0.0002932551319648094,1.5,0.0,7,clusterwise_perm
0.035,0.001099706744868035,1.5,0.1,7,clusterwise_perm
0.045,0.02794721407624633,1.5,0.25,7,clusterwise_perm
0.03,0.2033137829912023,1.5,0.5,7,clusterwise_perm
0.02,0.31296187683284465,1.5,0.75,7,clusterwise_perm
0.025,0.36585043988269794,1.5,1.0,7,clusterwise_perm
0.02,0.3988416422287389,1.5,1.25,7,clusterwise_perm
0.025,0.42705278592375356,1.5,1.5,7,clusterwise_perm
0.05,0.4493401759530791,1.5,1.75,7,clusterwise_perm
0.03,0.4788856304985337,1.5,2.0,7,clusterwise_perm
0.03,0.4831378299120235,1.5,2.25,7,clusterwise_perm
0.03,0.49957478005865097,1.5,2.5,7,clusterwise_perm
0.04,0.5095894428152492,1.5,2.75,7,clusterwise_perm
0.03,0.5227272727272727,1.5,3.0,7,clusterwise_perm
0.04,0.0,1.5,0.0,10,clusterwise_perm
0.01,0.001994134897360704,1.5,0.1,10,clusterwise_perm
0.045,0.0993841642228739,1.5,0.25,10,clusterwise_perm
0.04,0.31542521994134903,1.5,0.5,10,clusterwise_perm
0.01,0.3910703812316716,1.5,0.75,10,clusterwise_perm
0.04,0.4370527859237536,1.5,1.0,10,clusterwise_perm
0.04,0.4693841642228738,1.5,1.25,10,clusterwise_perm
0.05,0.4959970674486804,1.5,1.5,10,clusterwise_perm
0.03,0.5188856304985338,1.5,1.75,10,clusterwise_perm
0.025,0.5353665689149559,1.5,2.0,10,clusterwise_perm
0.035,0.5508944281524927,1.5,2.25,10,clusterwise_perm
0.025,0.5630205278592376,1.5,2.5,10,clusterwise_perm
0.04,0.5727712609970675,1.5,2.75,10,clusterwise_perm
0.045,0.5836363636363637,1.5,3.0,10,clusterwise_perm
0.045,0.00011730205278592375,1.5,0.0,15,clusterwise_perm
0.035,0.006774193548387097,1.5,0.1,15,clusterwise_perm
0.03,0.2036510263929619,1.5,0.25,15,clusterwise_perm
0.015,0.37997067448680355,1.5,0.5,15,clusterwise_perm
0.07,0.44319648093841635,1.5,0.75,15,clusterwise_perm
0.05,0.4827565982404692,1.5,1.0,15,clusterwise_perm
0.04,0.5171847507331379,1.5,1.25,15,clusterwise_perm
0.06,0.54,1.5,1.5,15,clusterwise_perm
0.045,0.5574633431085044,1.5,1.75,15,clusterwise_perm
0.06,0.5728739002932552,1.5,2.0,15,clusterwise_perm
0.05,0.5858211143695017,1.5,2.25,15,clusterwise_perm
0.025,0.600483870967742,1.5,2.5,15,clusterwise_perm
0.06,0.6109970674486805,1.5,2.75,15,clusterwise_perm
0.055,0.6229618768328448,1.5,3.0,15,clusterwise_perm
0.035,0.0,1.5,0.0,20,clusterwise_perm
0.045,0.022478005865102638,1.5,0.1,20,clusterwise_perm
0.05,0.27296187683284456,1.5,0.25,20,clusterwise_perm
0.07,0.4119941348973606,1.5,0.5,20,clusterwise_perm
0.01,0.4691055718475073,1.5,0.75,20,clusterwise_perm
0.045,0.5124193548387097,1.5,1.0,20,clusterwise_perm
0.045,0.543475073313783,1.5,1.25,20,clusterwise_perm
0.07,0.5618621700879767,1.5,1.5,20,clusterwise_perm
0.05,0.5784604105571849,1.5,1.75,20,clusterwise_perm
0.075,0.5965689149560118,1.5,2.0,20,clusterwise_perm
0.06,0.6080058651026394,1.5,2.25,20,clusterwise_perm
0.07,0.622859237536657,1.5,2.5,20,clusterwise_perm
0.055,0.6369061583577714,1.5,2.75,20,clusterwise_perm
0.07,0.6462316715542522,1.5,3.0,20,clusterwise_perm
0.05,0.00013196480938416422,1.5,0.0,30,clusterwise_perm
0.095,0.060982404692082104,1.5,0.1,30,clusterwise_perm
0.055,0.33071847507331376,1.5,0.25,30,clusterwise_perm
0.045,0.4483431085043988,1.5,0.5,30,clusterwise_perm
0.06,0.5051759530791788,1.5,0.75,30,clusterwise_perm
0.08,0.5435923753665689,1.5,1.0,30,clusterwise_perm
0.07,0.5694868035190617,1.5,1.25,30,clusterwise_perm
0.04,0.5916129032258065,1.5,1.5,30,clusterwise_perm
0.045,0.6102052785923755,1.5,1.75,30,clusterwise_perm
0.07,0.6254545454545455,1.5,2.0,30,clusterwise_perm
0.06,0.6429032258064518,1.5,2.25,30,clusterwise_perm
0.035,0.6537390029325514,1.5,2.5,30,clusterwise_perm
0.06,0.6631378299120234,1.5,2.75,30,clusterwise_perm
0.07,0.6745454545454547,1.5,3.0,30,clusterwise_perm
0.055,0.0001466275659824047,1.5,0.0,45,clusterwise_perm
0.04,0.1172434017595308,1.5,0.1,45,clusterwise_perm
0.045,0.3758211143695015,1.5,0.25,45,clusterwise_perm
0.04,0.48124633431085045,1.5,0.5,45,clusterwise_perm
0.055,0.5376686217008797,1.5,0.75,45,clusterwise_perm
0.07,0.5719794721407626,1.5,1.0,45,clusterwise_perm
0.065,0.5991935483870969,1.5,1.25,45,clusterwise_perm
0.05,0.6200000000000001,1.5,1.5,45,clusterwise_perm
0.07,0.6403225806451612,1.5,1.75,45,clusterwise_perm
0.065,0.6551612903225806,1.5,2.0,45,clusterwise_perm
0.085,0.6681378299120236,1.5,2.25,45,clusterwise_perm
0.095,0.6789736070381233,1.5,2.5,45,clusterwise_perm
0.06,0.6883137829912025,1.5,2.75,45,clusterwise_perm
0.06,0.6977859237536657,1.5,3.0,45,clusterwise_perm
0.055,2.932551319648094e-05,1.5,0.0,60,clusterwise_perm
0.035,0.17975073313782988,1.5,0.1,60,clusterwise_perm
0.045,0.40143695014662756,1.5,0.25,60,clusterwise_perm
0.055,0.5034604105571848,1.5,0.5,60,clusterwise_perm
0.06,0.5539296187683285,1.5,0.75,60,clusterwise_perm
0.045,0.5905718475073315,1.5,1.0,60,clusterwise_perm
0.09,0.6174486803519064,1.5,1.25,60,clusterwise_perm
