fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,2.0,0.0,2,clusterwise_perm
0.0,0.0,2.0,0.1,2,clusterwise_perm
0.0,0.0,2.0,0.25,2,clusterwise_perm
0.0,0.0,2.0,0.5,2,clusterwise_perm
0.0,0.0,2.0,0.75,2,clusterwise_perm
0.0,0.0,2.0,1.0,2,clusterwise_perm
0.0,0.0,2.0,1.25,2,clusterwise_perm
0.0,0.0,2.0,1.5,2,clusterwise_perm
0.0,0.0,2.0,1.75,2,clusterwise_perm
0.0,0.0,2.0,2.0,2,clusterwise_perm
0.0,0.0,2.0,2.25,2,clusterwise_perm
0.0,0.0,2.0,2.5,2,clusterwise_perm
0.0,0.0,2.0,2.75,2,clusterwise_perm
0.0,0.0,2.0,3.0,2,clusterwise_perm
0.01,0.0,2.0,0.0,5,clusterwise_perm
0.02,0.00041189931350114423,2.0,0.1,5,clusterwise_perm
0.025,0.005469107551487415,2.0,0.25,5,clusterwise_perm
0.01,0.04459954233409611,2.0,0.5,5,clusterwise_perm
0.015,0.09295194508009154,2.0,0.75,5,clusterwise_perm
0.035,0.10292906178489704,2.0,1.0,5,clusterwise_perm
0.03,0.12177345537757438,2.0,1.25,5,clusterwise_perm
0.035,0.11844393592677345,2.0,1.5,5,clusterwise_perm
0.02,0.15541189931350113,2.0,1.75,5,clusterwise_perm
0.015,0.17606407322654463,2.0,2.0,5,clusterwise_perm
0.025,0.1623913043478261,2.0,2.25,5,clusterwise_perm
0.015,0.1626086956521739,2.0,2.5,5,clusterwise_perm
0.005,0.16977116704805492,2.0,2.75,5,clusterwise_perm
0.03,0.16867276887871852,2.0,3.0,5,clusterwise_perm
0.065,0.0003775743707093822,2.0,0.0,7,clusterwise_perm
0.035,0.002173913043478261,2.0,0.1,7,clusterwise_perm
0.035,0.04894736842105263,2.0,0.25,7,clusterwise_perm
0.045,0.21155606407322655,2.0,0.5,7,clusterwise_perm
0.03,0.2916361556064074,2.0,0.75,7,clusterwise_perm
0.065,0.33996567505720826,2.0,1.0,7,clusterwise_perm
0.035,0.3698970251716247,2.0,1.25,7,clusterwise_perm
0.04,0.40220823798627003,2.0,1.5,7,clusterwise_perm
0.04,0.42564073226544624,2.0,1.75,7,clusterwise_perm
0.035,0.45279176201373,2.0,2.0,7,clusterwise_perm
0.055,0.4571739130434782,2.0,2.25,7,clusterwise_perm
0.075,0.4738443935926774,2.0,2.5,7,clusterwise_perm
0.04,0.48466819221967966,2.0,2.75,7,clusterwise_perm
0.035,0.4991647597254005,2.0,3.0,7,clusterwise_perm
0.035,0.00014874141876430207,2.0,0.0,10,clusterwise_perm
0.015,0.004919908466819222,2.0,0.1,10,clusterwise_perm
0.03,0.1333524027459954,2.0,0.25,10,clusterwise_perm
0.075,0.29376430205949655,2.0,0.5,10,clusterwise_perm
0.03,0.3630892448512586,2.0,0.75,10,clusterwise_perm
0.05,0.408558352402746,2.0,1.0,10,clusterwise_perm
0.03,0.4446567505720824,2.0,1.25,10,clusterwise_perm
0.03,0.46844393592677347,2.0,1.5,10,clusterwise_perm
0.07,0.49249427917620137,2.0,1.75,10,clusterwise_perm
0.035,0.5101258581235698,2.0,2.0,10,clusterwise_perm
0.035,0.5270366132723112,2.0,2.25,10,clusterwise_perm
0.05,0.5427231121281464,2.0,2.5,10,clusterwise_perm
0.07,0.5526887871853546,2.0,2.75,10,clusterwise_perm
0.075,0.5656407322654462,2.0,3.0,10,clusterwise_perm
0.05,0.00019450800915331808,2.0,0.0,15,clusterwise_perm
0.055,0.017608695652173913,2.0,0.1,15,clusterwise_perm
0.025,0.21342105263157893,2.0,0.25,15,clusterwise_perm
0.045,0.3512471395881007,2.0,0.5,15,clusterwise_perm
0.06,0.4159610983981693,2.0,0.75,15,clusterwise_perm
0.08,0.456441647597254,2.0,1.0,15,clusterwise_perm
0.035,0.48914187643020596,2.0,1.25,15,clusterwise_perm
0.08,0.5149199084668192,2.0,1.5,15,clusterwise_perm
0.08,0.5368306636155605,2.0,1.75,15,clusterwise_perm
0.06,0.5546453089244852,2.0,2.0,15,clusterwise_perm
0.05,0.5680091533180779,2.0,2.25,15,clusterwise_perm
0.05,0.583421052631579,2.0,2.5,15,clusterwise_perm
0.05,0.593020594965675,2.0,2.75,15,clusterwise_perm
0.07,0.6061212814645309,2.0,3.0,15,clusterwise_perm
0.035,8.009153318077803e-05,2.0,0.0,20,clusterwise_perm
0.05,0.03958810068649885,2.0,0.1,20,clusterwise_perm
0.06,0.2608237986270023,2.0,0.25,20,clusterwise_perm
0.07,0.38294050343249425,2.0,0.5,20,clusterwise_perm
0.045,0.4432494279176201,2.0,0.75,20,clusterwise_perm
0.07,0.48578947368421055,2.0,1.0,20,clusterwise_perm
0.075,0.519462242562929,2.0,1.25,20,clusterwise_perm
0.075,0.5410068649885583,2.0,1.5,20,clusterwise_perm
0.045,0.5605720823798628,2.0,1.75,20,clusterwise_perm
0.065,0.5777574370709382,2.0,2.0,20,clusterwise_perm
0.07,0.5906636155606408,2.0,2.25,20,clusterwise_perm
0.05,0.6054462242562929,2.0,2.5,20,clusterwise_perm
0.075,0.6189816933638445,2.0,2.75,20,clusterwise_perm
0.075,0.6299427917620137,2.0,3.0,20,clusterwise_perm
0.035,0.00018306636155606407,2.0,0.0,30,clusterwise_perm
0.09,0.09439359267734554,2.0,0.1,30,clusterwise_perm
0.05,0.30844393592677344,2.0,0.25,30,clusterwise_perm
0.07,0.4220709382151029,2.0,0.5,30,clusterwise_perm
0.065,0.4777345537757438,2.0,0.75,30,clusterwise_perm
0.085,0.5211899313501145,2.0,1.0,30,clusterwise_perm
0.09,0.5492562929061785,2.0,1.25,30,clusterwise_perm
0.07,0.5722654462242562,2.0,1.5,30,clusterwise_perm
0.045,0.5916475972540046,2.0,1.75,30,clusterwise_perm
0.065,0.6080778032036612,2.0,2.0,30,clusterwise_perm
0.07,0.6260526315789473,2.0,2.25,30,clusterwise_perm
0.045,0.6395881006864989,2.0,2.5,30,clusterwise_perm
0.055,0.6505263157894737,2.0,2.75,30,clusterwise_perm
0.085,0.6642448512585812,2.0,3.0,30,clusterwise_perm
0.06,0.00016018306636155606,2.0,0.0,45,clusterwise_perm
0.055,0.15043478260869567,2.0,0.1,45,clusterwise_perm
0.085,0.3471395881006865,2.0,0.25,45,clusterwise_perm
0.03,0.455045766590389,2.0,0.5,45,clusterwise_perm
0.04,0.5132951945080092,2.0,0.75,45,clusterwise_perm
0.055,0.5508466819221968,2.0,1.0,45,clusterwise_perm
0.065,0.5824599542334096,2.0,1.25,45,clusterwise_perm
0.06,0.6027803203661327,2.0,1.5,45,clusterwise_perm
0.065,0.6246681922196796,2.0,1.75,45,clusterwise_perm
0.06,0.6404805491990847,2.0,2.0,45,clusterwise_perm
0.09,0.657116704805492,2.0,2.25,45,clusterwise_perm
0.11,0.6676773455377574,2.0,2.5,45,clusterwise_perm
0.06,0.6781578947368421,2.0,2.75,45,clusterwise_perm
0.08,0.6876430205949657,2.0,3.0,45,clusterwise_perm
0.055,0.0002517162471395881,2.0,0.0,60,clusterwise_perm
0.035,0.1961441647597254,2.0,0.1,60,clusterwise_perm
0.07,0.37350114416475977,2.0,0.25,60,clusterwise_perm
0.08,0.475491990846682,2.0,0.5,60,clusterwise_perm
0.08,0.5332494279176201,2.0,0.75,60,clusterwise_perm
0.09,0.5739130434782609,2.0,1.0,60,clusterwise_perm
0.09,0.5990732265446224,2.0,1.25,60,clusterwise_perm
0.085,0.6234782608695653,2.0,1.5,60,clusterwise_perm
0.08,0.6454233409610984,2.0,1.75,60,clusterwise_perm
0.06,0.6616590389016019,2.0,2.0,60,clusterwise_perm
0.065,0.6743363844393592,2.0,2.25,60,clusterwise_perm
0.08,0.6836727688787185,2.0,2.5,60,clusterwise_perm
0.105,0.6938787185354692,2.0,2.75,60,clusterwise_perm
0.06,0.7026315789473685,2.0,3.0,60,clusterwise_perm
