fwer,sensitivity,sm_sigma,snr,n_subj,method
0.08,0.4909358288770054,2.5,1.0,30,clusterwise_perm
0.08,0.5198663101604278,2.5,1.25,30,clusterwise_perm
0.09,0.5444474153297683,2.5,1.5,30,clusterwise_perm
0.03,0.5645811051693405,2.5,1.75,30,clusterwise_perm
0.1,0.5825490196078431,2.5,2.0,30,clusterwise_perm
0.085,0.6005169340463458,2.5,2.25,30,clusterwise_perm
0.05,0.6131550802139037,2.5,2.5,30,clusterwise_perm
0.105,0.6239750445632799,2.5,2.75,30,clusterwise_perm
0.095,0.6385026737967915,2.5,3.0,30,clusterwise_perm
0.035,0.0,2.5,0.0,45,clusterwise_perm
0.06,0.14868092691622103,2.5,0.1,45,clusterwise_perm
0.06,0.3179590017825312,2.5,0.25,45,clusterwise_perm
0.03,0.4244117647058823,2.5,0.5,45,clusterwise_perm
0.045,0.482397504456328,2.5,0.75,45,clusterwise_perm
0.06,0.5211408199643494,2.5,1.0,45,clusterwise_perm
0.07,0.5550980392156862,2.5,1.25,45,clusterwise_perm
0.075,0.5766844919786096,2.5,1.5,45,clusterwise_perm
0.05,0.5975668449197861,2.5,1.75,45,clusterwise_perm
0.04,0.6136987522281641,2.5,2.0,45,clusterwise_perm
0.115,0.6313368983957219,2.5,2.25,45,clusterwise_perm
0.11,0.6413814616755793,2.5,2.5,45,clusterwise_perm
0.075,0.6535383244206774,2.5,2.75,45,clusterwise_perm
0.08,0.6642869875222818,2.5,3.0,45,clusterwise_perm
0.075,0.0007040998217468805,2.5,0.0,60,clusterwise_perm
0.045,0.18321746880570408,2.5,0.1,60,clusterwise_perm
0.06,0.34467023172905525,2.5,0.25,60,clusterwise_perm
0.04,0.4455080213903743,2.5,0.5,60,clusterwise_perm
0.11,0.5033422459893048,2.5,0.75,60,clusterwise_perm
0.08,0.5464973262032086,2.5,1.0,60,clusterwise_perm
0.085,0.5720855614973261,2.5,1.25,60,clusterwise_perm
0.09,0.5969875222816399,2.5,1.5,60,clusterwise_perm
0.055,0.619180035650624,2.5,1.75,60,clusterwise_perm
0.055,0.6360338680926917,2.5,2.0,60,clusterwise_perm
0.07,0.6499019607843138,2.5,2.25,60,clusterwise_perm
0.09,0.6598841354723709,2.5,2.5,60,clusterwise_perm
0.095,0.6711942959001783,2.5,2.75,60,clusterwise_perm
0.08,0.6825044563279857,2.5,3.0,60,clusterwise_perm
