fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,0.1,0.0,2,clusterwise_perm
0.0,0.0,0.1,0.1,2,clusterwise_perm
0.0,0.0,0.1,0.25,2,clusterwise_perm
0.0,0.0,0.1,0.5,2,clusterwise_perm
0.0,0.0,0.1,0.75,2,clusterwise_perm
0.0,0.0,0.1,1.0,2,clusterwise_perm
0.0,0.0,0.1,1.25,2,clusterwise_perm
0.0,0.0,0.1,1.5,2,clusterwise_perm
0.0,0.0,0.1,1.75,2,clusterwise_perm
0.0,0.0,0.1,2.0,2,clusterwise_perm
0.0,0.0,0.1,2.25,2,clusterwise_perm
0.0,0.0,0.1,2.5,2,clusterwise_perm
0.0,0.0,0.1,2.75,2,clusterwise_perm
0.0,0.0,0.1,3.0,2,clusterwise_perm
0.005,0.0,0.1,0.0,5,clusterwise_perm
0.0,0.0,0.1,0.1,5,clusterwise_perm
0.005,0.0,0.1,0.25,5,clusterwise_perm
0.01,0.0,0.1,0.5,5,clusterwise_perm
0.01,0.00026548672566371683,0.1,0.75,5,clusterwise_perm
0.02,0.0016814159292035398,0.1,1.0,5,clusterwise_perm
0.015,0.003672566371681416,0.1,1.25,5,clusterwise_perm
0.005,0.008097345132743364,0.1,1.5,5,clusterwise_perm
0.01,0.018893805309734512,0.1,1.75,5,clusterwise_perm
0.02,0.04287610619469026,0.1,2.0,5,clusterwise_perm
0.03,0.06566371681415929,0.1,2.25,5,clusterwise_perm
0.02,0.08991150442477876,0.1,2.5,5,clusterwise_perm
0.025,0.13535398230088497,0.1,2.75,5,clusterwise_perm
0.02,0.1698230088495575,0.1,3.0,5,clusterwise_perm
0.025,0.0,0.1,0.0,7,clusterwise_perm
0.035,0.0,0.1,0.1,7,clusterwise_perm
0.025,0.0,0.1,0.25,7,clusterwise_perm
0.01,0.00017699115044247788,0.1,0.5,7,clusterwise_perm
0.015,0.004690265486725664,0.1,0.75,7,clusterwise_perm
0.025,0.017610619469026548,0.1,1.0,7,clusterwise_perm
0.03,0.06880530973451328,0.1,1.25,7,clusterwise_perm
0.03,0.18004424778761063,0.1,1.5,7,clusterwise_perm
