fwer,sensitivity,sm_sigma,snr,n_subj,method
0.06,1.0,0.1,2.75,20,clusterwise_perm
0.075,1.0,0.1,3.0,20,clusterwise_perm
0.03,0.0,0.1,0.0,30,clusterwise_perm
0.02,0.0001327433628318,0.1,0.1,30,clusterwise_perm
0.01,0.0030973451327433,0.1,0.25,30,clusterwise_perm
0.045,0.1809734513274336,0.1,0.5,30,clusterwise_perm
0.08,0.7377876106194691,0.1,0.75,30,clusterwise_perm
0.09,0.9731858407079648,0.1,1.0,30,clusterwise_perm
0.06,0.9991592920353982,0.1,1.25,30,clusterwise_perm
0.065,0.9999557522123894,0.1,1.5,30,clusterwise_perm
0.11,1.0,0.1,1.75,30,clusterwise_perm
0.075,1.0,0.1,2.0,30,clusterwise_perm
0.095,1.0,0.1,2.25,30,clusterwise_perm
0.115,1.0,0.1,2.5,30,clusterwise_perm
0.08,1.0,0.1,2.75,30,clusterwise_perm
0.09,1.0,0.1,3.0,30,clusterwise_perm
0.02,0.0,0.1,0.0,45,clusterwise_perm
0.02,8.849557522123894e-05,0.1,0.1,45,clusterwise_perm
0.05,0.0111946902654867,0.1,0.25,45,clusterwise_perm
0.05,0.4909734513274336,0.1,0.5,45,clusterwise_perm
0.045,0.951283185840708,0.1,0.75,45,clusterwise_perm
0.1,0.9991592920353984,0.1,1.0,45,clusterwise_perm
0.08,1.0,0.1,1.25,45,clusterwise_perm
0.085,1.0,0.1,1.5,45,clusterwise_perm
0.07,1.0,0.1,1.75,45,clusterwise_perm
0.105,1.0,0.1,2.0,45,clusterwise_perm
0.08,1.0,0.1,2.25,45,clusterwise_perm
0.09,1.0,0.1,2.5,45,clusterwise_perm
0.07,1.0,0.1,2.75,45,clusterwise_perm
0.075,1.0,0.1,3.0,45,clusterwise_perm
0.045,8.849557522123894e-05,0.1,0.0,60,clusterwise_perm
0.01,0.0003539823008849,0.1,0.1,60,clusterwise_perm
0.04,0.0280088495575221,0.1,0.25,60,clusterwise_perm
0.08,0.711858407079646,0.1,0.5,60,clusterwise_perm
0.085,0.9942035398230088,0.1,0.75,60,clusterwise_perm
0.135,1.0,0.1,1.0,60,clusterwise_perm
0.12,1.0,0.1,1.25,60,clusterwise_perm
0.07,1.0,0.1,1.5,60,clusterwise_perm
0.075,1.0,0.1,1.75,60,clusterwise_perm
0.05,1.0,0.1,2.0,60,clusterwise_perm
0.09,1.0,0.1,2.25,60,clusterwise_perm
0.12,1.0,0.1,2.5,60,clusterwise_perm
0.095,1.0,0.1,2.75,60,clusterwise_perm
0.11,1.0,0.1,3.0,60,clusterwise_perm
0.0,0.0,0.25,0.0,2,clusterwise_perm
0.0,0.0,0.25,0.1,2,clusterwise_perm
0.0,0.0,0.25,0.25,2,clusterwise_perm
0.0,0.0,0.25,0.5,2,clusterwise_perm
0.0,0.0,0.25,0.75,2,clusterwise_perm
0.0,0.0,0.25,1.0,2,clusterwise_perm
0.0,0.0,0.25,1.25,2,clusterwise_perm
0.0,0.0,0.25,1.5,2,clusterwise_perm
0.0,0.0,0.25,1.75,2,clusterwise_perm
0.0,0.0,0.25,2.0,2,clusterwise_perm
0.0,0.0,0.25,2.25,2,clusterwise_perm
0.0,0.0,0.25,2.5,2,clusterwise_perm
0.0,0.0,0.25,2.75,2,clusterwise_perm
0.0,0.0,0.25,3.0,2,clusterwise_perm
0.005,0.0,0.25,0.0,5,clusterwise_perm
0.0,0.0,0.25,0.1,5,clusterwise_perm
0.005,0.0,0.25,0.25,5,clusterwise_perm
0.01,0.0,0.25,0.5,5,clusterwise_perm
0.01,0.0002654867256637,0.25,0.75,5,clusterwise_perm
0.02,0.0016814159292035,0.25,1.0,5,clusterwise_perm
0.015,0.0036725663716814,0.25,1.25,5,clusterwise_perm
0.005,0.0080973451327433,0.25,1.5,5,clusterwise_perm
0.01,0.0190265486725663,0.25,1.75,5,clusterwise_perm
0.02,0.0431415929203539,0.25,2.0,5,clusterwise_perm
0.03,0.0658407079646017,0.25,2.25,5,clusterwise_perm
0.02,0.0903097345132743,0.25,2.5,5,clusterwise_perm
0.025,0.1362389380530973,0.25,2.75,5,clusterwise_perm
0.02,0.1706194690265486,0.25,3.0,5,clusterwise_perm
0.025,0.0,0.25,0.0,7,clusterwise_perm
0.035,0.0,0.25,0.1,7,clusterwise_perm
0.025,0.0,0.25,0.25,7,clusterwise_perm
0.01,0.000221238938053,0.25,0.5,7,clusterwise_perm
0.015,0.0048230088495575,0.25,0.75,7,clusterwise_perm
0.025,0.0176991150442477,0.25,1.0,7,clusterwise_perm
0.03,0.0698230088495575,0.25,1.25,7,clusterwise_perm
0.03,0.1812389380530973,0.25,1.5,7,clusterwise_perm
0.04,0.3361061946902655,0.25,1.75,7,clusterwise_perm
0.07,0.5224778761061947,0.25,2.0,7,clusterwise_perm
0.09,0.660796460176991,0.25,2.25,7,clusterwise_perm
0.11,0.7826991150442478,0.25,2.5,7,clusterwise_perm
0.05,0.8500884955752213,0.25,2.75,7,clusterwise_perm
0.08,0.9141592920353984,0.25,3.0,7,clusterwise_perm
0.025,0.0,0.25,0.0,10,clusterwise_perm
0.025,0.0,0.25,0.1,10,clusterwise_perm
0.02,0.0001769911504424,0.25,0.25,10,clusterwise_perm
0.02,0.0020353982300884,0.25,0.5,10,clusterwise_perm
0.045,0.02429203539823,0.25,0.75,10,clusterwise_perm
0.025,0.1265929203539823,0.25,1.0,10,clusterwise_perm
0.06,0.3693805309734513,0.25,1.25,10,clusterwise_perm
0.06,0.6277433628318584,0.25,1.5,10,clusterwise_perm
0.09,0.8234955752212388,0.25,1.75,10,clusterwise_perm
0.1,0.9317699115044248,0.25,2.0,10,clusterwise_perm
0.11,0.978141592920354,0.25,2.25,10,clusterwise_perm
0.095,0.9939380530973452,0.25,2.5,10,clusterwise_perm
0.06,0.9985840707964602,0.25,2.75,10,clusterwise_perm
0.055,0.9998230088495574,0.25,3.0,10,clusterwise_perm
0.015,0.0,0.25,0.0,15,clusterwise_perm
0.03,0.0,0.25,0.1,15,clusterwise_perm
0.04,0.000575221238938,0.25,0.25,15,clusterwise_perm
0.015,0.0141592920353982,0.25,0.5,15,clusterwise_perm
0.025,0.1538938053097345,0.25,0.75,15,clusterwise_perm
0.06,0.505,0.25,1.0,15,clusterwise_perm
0.07,0.8149557522123894,0.25,1.25,15,clusterwise_perm
0.07,0.9553539823008852,0.25,1.5,15,clusterwise_perm
0.135,0.993716814159292,0.25,1.75,15,clusterwise_perm
0.095,0.9992035398230088,0.25,2.0,15,clusterwise_perm
0.065,1.0,0.25,2.25,15,clusterwise_perm
0.115,1.0,0.25,2.5,15,clusterwise_perm
0.095,1.0,0.25,2.75,15,clusterwise_perm
0.09,1.0,0.25,3.0,15,clusterwise_perm
0.01,0.0,0.25,0.0,20,clusterwise_perm
0.025,0.0,0.25,0.1,20,clusterwise_perm
0.025,0.0009734513274336,0.25,0.25,20,clusterwise_perm
0.035,0.0451769911504424,0.25,0.5,20,clusterwise_perm
0.06,0.3594247787610619,0.25,0.75,20,clusterwise_perm
0.05,0.775796460176991,0.25,1.0,20,clusterwise_perm
0.075,0.961858407079646,0.25,1.25,20,clusterwise_perm
0.09,0.9967699115044246,0.25,1.5,20,clusterwise_perm
0.105,0.9999115044247788,0.25,1.75,20,clusterwise_perm
0.05,1.0,0.25,2.0,20,clusterwise_perm
0.105,1.0,0.25,2.25,20,clusterwise_perm
0.07,1.0,0.25,2.5,20,clusterwise_perm
0.06,1.0,0.25,2.75,20,clusterwise_perm
0.075,1.0,0.25,3.0,20,clusterwise_perm
0.03,0.0,0.25,0.0,30,clusterwise_perm
0.02,0.0001327433628318,0.25,0.1,30,clusterwise_perm
0.01,0.0030973451327433,0.25,0.25,30,clusterwise_perm
