fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,1.75,0.0,2,clusterwise_perm
0.0,0.0,1.75,0.1,2,clusterwise_perm
0.0,0.0,1.75,0.25,2,clusterwise_perm
0.0,0.0,1.75,0.5,2,clusterwise_perm
0.0,0.0,1.75,0.75,2,clusterwise_perm
0.0,0.0,1.75,1.0,2,clusterwise_perm
0.0,0.0,1.75,1.25,2,clusterwise_perm
0.0,0.0,1.75,1.5,2,clusterwise_perm
0.0,0.0,1.75,1.75,2,clusterwise_perm
0.0,0.0,1.75,2.0,2,clusterwise_perm
0.0,0.0,1.75,2.25,2,clusterwise_perm
0.0,0.0,1.75,2.5,2,clusterwise_perm
0.0,0.0,1.75,2.75,2,clusterwise_perm
0.0,0.0,1.75,3.0,2,clusterwise_perm
0.02,0.0,1.75,0.0,5,clusterwise_perm
0.02,0.00032418952618453866,1.75,0.1,5,clusterwise_perm
0.025,0.00412718204488778,1.75,0.25,5,clusterwise_perm
0.01,0.03937655860349128,1.75,0.5,5,clusterwise_perm
0.005,0.0887281795511222,1.75,0.75,5,clusterwise_perm
0.01,0.10185785536159601,1.75,1.0,5,clusterwise_perm
0.015,0.12110972568578554,1.75,1.25,5,clusterwise_perm
0.015,0.1183915211970075,1.75,1.5,5,clusterwise_perm
0.005,0.15415211970074813,1.75,1.75,5,clusterwise_perm
0.01,0.17625935162094764,1.75,2.0,5,clusterwise_perm
0.015,0.1617581047381546,1.75,2.25,5,clusterwise_perm
0.025,0.16150872817955111,1.75,2.5,5,clusterwise_perm
0.015,0.16882793017456357,1.75,2.75,5,clusterwise_perm
0.03,0.16733167082294265,1.75,3.0,5,clusterwise_perm
0.055,0.0003366583541147132,1.75,0.0,7,clusterwise_perm
0.025,0.0012468827930174563,1.75,0.1,7,clusterwise_perm
0.035,0.038591022443890274,1.75,0.25,7,clusterwise_perm
0.04,0.20457605985037403,1.75,0.5,7,clusterwise_perm
0.03,0.2921446384039901,1.75,0.75,7,clusterwise_perm
0.065,0.3404488778054862,1.75,1.0,7,clusterwise_perm
0.03,0.36957605985037406,1.75,1.25,7,clusterwise_perm
0.04,0.39936408977556115,1.75,1.5,7,clusterwise_perm
0.03,0.42228179551122197,1.75,1.75,7,clusterwise_perm
0.025,0.4492019950124688,1.75,2.0,7,clusterwise_perm
0.05,0.45283042394014955,1.75,2.25,7,clusterwise_perm
0.065,0.4671945137157107,1.75,2.5,7,clusterwise_perm
