fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,0.75,0.0,2,clusterwise_perm
0.0,0.0,0.75,0.1,2,clusterwise_perm
0.0,0.0,0.75,0.25,2,clusterwise_perm
0.0,0.0,0.75,0.5,2,clusterwise_perm
0.0,0.0,0.75,0.75,2,clusterwise_perm
0.0,0.0,0.75,1.0,2,clusterwise_perm
0.0,0.0,0.75,1.25,2,clusterwise_perm
0.0,0.0,0.75,1.5,2,clusterwise_perm
0.0,0.0,0.75,1.75,2,clusterwise_perm
0.0,0.0,0.75,2.0,2,clusterwise_perm
0.0,0.0,0.75,2.25,2,clusterwise_perm
0.0,0.0,0.75,2.5,2,clusterwise_perm
0.0,0.0,0.75,2.75,2,clusterwise_perm
0.0,0.0,0.75,3.0,2,clusterwise_perm
0.025,0.0,0.75,0.0,5,clusterwise_perm
0.005,0.0,0.75,0.1,5,clusterwise_perm
0.02,0.0001643192488262911,0.75,0.25,5,clusterwise_perm
0.0,0.0039436619718309866,0.75,0.5,5,clusterwise_perm
0.005,0.022300469483568078,0.75,0.75,5,clusterwise_perm
0.005,0.05345070422535212,0.75,1.0,5,clusterwise_perm
0.0,0.097981220657277,0.75,1.25,5,clusterwise_perm
0.005,0.12514084507042253,0.75,1.5,5,clusterwise_perm
0.015,0.17981220657276997,0.75,1.75,5,clusterwise_perm
0.01,0.218943661971831,0.75,2.0,5,clusterwise_perm
0.01,0.20260563380281688,0.75,2.25,5,clusterwise_perm
0.005,0.20363849765258216,0.75,2.5,5,clusterwise_perm
0.015,0.21359154929577465,0.75,2.75,5,clusterwise_perm
0.015,0.20910798122065727,0.75,3.0,5,clusterwise_perm
0.015,0.0,0.75,0.0,7,clusterwise_perm
0.025,0.00011737089201877934,0.75,0.1,7,clusterwise_perm
0.015,0.0017136150234741783,0.75,0.25,7,clusterwise_perm
0.01,0.0487793427230047,0.75,0.5,7,clusterwise_perm
0.01,0.21558685446009393,0.75,0.75,7,clusterwise_perm
0.015,0.3841549295774648,0.75,1.0,7,clusterwise_perm
0.02,0.46687793427230045,0.75,1.25,7,clusterwise_perm
0.015,0.5078169014084507,0.75,1.5,7,clusterwise_perm
0.02,0.5293896713615024,0.75,1.75,7,clusterwise_perm
0.015,0.558849765258216,0.75,2.0,7,clusterwise_perm
0.03,0.5616431924882629,0.75,2.25,7,clusterwise_perm
0.015,0.5782629107981221,0.75,2.5,7,clusterwise_perm
0.01,0.5876056338028168,0.75,2.75,7,clusterwise_perm
0.04,0.6045774647887324,0.75,3.0,7,clusterwise_perm
0.015,0.0,0.75,0.0,10,clusterwise_perm
0.025,9.389671361502347e-05,0.75,0.1,10,clusterwise_perm
0.035,0.011384976525821594,0.75,0.25,10,clusterwise_perm
0.005,0.20037558685446008,0.75,0.5,10,clusterwise_perm
0.015,0.43819248826291074,0.75,0.75,10,clusterwise_perm
0.01,0.5217136150234741,0.75,1.0,10,clusterwise_perm
0.015,0.5544366197183098,0.75,1.25,10,clusterwise_perm
0.03,0.578943661971831,0.75,1.5,10,clusterwise_perm
0.03,0.5999295774647887,0.75,1.75,10,clusterwise_perm
0.015,0.6183568075117372,0.75,2.0,10,clusterwise_perm
0.045,0.6350469483568075,0.75,2.25,10,clusterwise_perm
0.015,0.6517136150234742,0.75,2.5,10,clusterwise_perm
0.025,0.6612910798122067,0.75,2.75,10,clusterwise_perm
0.025,0.6708450704225352,0.75,3.0,10,clusterwise_perm
0.045,0.0,0.75,0.0,15,clusterwise_perm
0.03,0.0005868544600938967,0.75,0.1,15,clusterwise_perm
0.02,0.039718309859154935,0.75,0.25,15,clusterwise_perm
0.015,0.39690140845070426,0.75,0.5,15,clusterwise_perm
0.025,0.5293661971830986,0.75,0.75,15,clusterwise_perm
0.03,0.5662206572769953,0.75,1.0,15,clusterwise_perm
0.01,0.5981455399061033,0.75,1.25,15,clusterwise_perm
0.03,0.6256572769953052,0.75,1.5,15,clusterwise_perm
0.05,0.644413145539906,0.75,1.75,15,clusterwise_perm
0.03,0.6607042253521126,0.75,2.0,15,clusterwise_perm
0.025,0.6728169014084506,0.75,2.25,15,clusterwise_perm
0.015,0.6835446009389672,0.75,2.5,15,clusterwise_perm
0.035,0.6902582159624413,0.75,2.75,15,clusterwise_perm
0.04,0.697300469483568,0.75,3.0,15,clusterwise_perm
0.02,0.0,0.75,0.0,20,clusterwise_perm
0.035,0.0013145539906103288,0.75,0.1,20,clusterwise_perm
0.03,0.10870892018779343,0.75,0.25,20,clusterwise_perm
0.045,0.4833333333333333,0.75,0.5,20,clusterwise_perm
0.025,0.5535446009389671,0.75,0.75,20,clusterwise_perm
0.01,0.5926291079812206,0.75,1.0,20,clusterwise_perm
0.025,0.6275117370892019,0.75,1.25,20,clusterwise_perm
0.025,0.6508215962441315,0.75,1.5,20,clusterwise_perm
0.015,0.6671830985915492,0.75,1.75,20,clusterwise_perm
0.025,0.6808215962441315,0.75,2.0,20,clusterwise_perm
0.055,0.6904460093896714,0.75,2.25,20,clusterwise_perm
0.03,0.6986619718309859,0.75,2.5,20,clusterwise_perm
0.03,0.7048356807511738,0.75,2.75,20,clusterwise_perm
