fwer,sensitivity,sm_sigma,snr,n_subj,method
0.0,0.0,3.0,0.0,2,clusterwise_perm
0.0,0.0,3.0,0.1,2,clusterwise_perm
0.0,0.0,3.0,0.25,2,clusterwise_perm
0.0,0.0,3.0,0.5,2,clusterwise_perm
0.0,0.0,3.0,0.75,2,clusterwise_perm
0.0,0.0,3.0,1.0,2,clusterwise_perm
0.0,0.0,3.0,1.25,2,clusterwise_perm
0.0,0.0,3.0,1.5,2,clusterwise_perm
0.0,0.0,3.0,1.75,2,clusterwise_perm
0.0,0.0,3.0,2.0,2,clusterwise_perm
0.0,0.0,3.0,2.25,2,clusterwise_perm
0.0,0.0,3.0,2.5,2,clusterwise_perm
0.0,0.0,3.0,2.75,2,clusterwise_perm
0.0,0.0,3.0,3.0,2,clusterwise_perm
0.03,0.0,3.0,0.0,5,clusterwise_perm
0.025,0.00038913362701908954,3.0,0.1,5,clusterwise_perm
0.03,0.009816446402349487,3.0,0.25,5,clusterwise_perm
0.01,0.04400881057268723,3.0,0.5,5,clusterwise_perm
0.03,0.08415565345080762,3.0,0.75,5,clusterwise_perm
0.03,0.09137298091042584,3.0,1.0,5,clusterwise_perm
0.02,0.10687224669603523,3.0,1.25,5,clusterwise_perm
0.035,0.10538913362701909,3.0,1.5,5,clusterwise_perm
0.03,0.13854625550660793,3.0,1.75,5,clusterwise_perm
0.025,0.15762114537444932,3.0,2.0,5,clusterwise_perm
0.03,0.14499265785609394,3.0,2.25,5,clusterwise_perm
0.01,0.14665198237885463,3.0,2.5,5,clusterwise_perm
0.015,0.15364904552129222,3.0,2.75,5,clusterwise_perm
0.035,0.15180616740088104,3.0,3.0,5,clusterwise_perm
0.03,0.00021292217327459616,3.0,0.0,7,clusterwise_perm
0.035,0.0025844346549192365,3.0,0.1,7,clusterwise_perm
0.045,0.0648237885462555,3.0,0.25,7,clusterwise_perm
0.03,0.19231277533039648,3.0,0.5,7,clusterwise_perm
0.045,0.25663729809104263,3.0,0.75,7,clusterwise_perm
0.07,0.300352422907489,3.0,1.0,7,clusterwise_perm
0.07,0.32983113069016157,3.0,1.25,7,clusterwise_perm
0.045,0.3633406754772393,3.0,1.5,7,clusterwise_perm
0.05,0.38677679882525695,3.0,1.75,7,clusterwise_perm
0.05,0.41331130690161527,3.0,2.0,7,clusterwise_perm
0.04,0.4194713656387665,3.0,2.25,7,clusterwise_perm
0.05,0.43638032305433183,3.0,2.5,7,clusterwise_perm
0.05,0.4452129221732746,3.0,2.75,7,clusterwise_perm
0.055,0.4636784140969163,3.0,3.0,7,clusterwise_perm
0.02,0.00043318649045521296,3.0,0.0,10,clusterwise_perm
0.03,0.00922173274596182,3.0,0.1,10,clusterwise_perm
