fwer,sensitivity,sm_sigma,snr,n,method
0.05,0.0002331002331002331,1.25,2.25,2,voxelwise_rft
0.3,0.0015151515151515152,1.25,2.5,2,voxelwise_rft
0.0,0.0,1.25,2.75,2,voxelwise_rft
0.15,0.0004662004662004662,1.25,3.0,2,voxelwise_rft
0.15,9.823182711198428e-05,1.5,0.0,2,voxelwise_rft
0.2,0.0,1.5,0.1,2,voxelwise_rft
0.05,9.823182711198428e-05,1.5,0.25,2,voxelwise_rft
0.1,0.0005893909626719057,1.5,0.5,2,voxelwise_rft
0.05,0.00029469548133595285,1.5,0.75,2,voxelwise_rft
0.2,0.0004911591355599214,1.5,1.0,2,voxelwise_rft
0.2,0.0005893909626719057,1.5,1.25,2,voxelwise_rft
0.15,0.0047151277013752465,1.5,1.5,2,voxelwise_rft
0.05,0.0002946954813359528,1.5,1.75,2,voxelwise_rft
0.15,0.0011787819253438114,1.5,2.0,2,voxelwise_rft
0.05,0.00412573673870334,1.5,2.25,2,voxelwise_rft
0.05,0.0,1.5,2.5,2,voxelwise_rft
0.15,0.0004911591355599214,1.5,2.75,2,voxelwise_rft
0.15,0.0,1.5,3.0,2,voxelwise_rft
0.1,0.0001652892561983471,1.75,0.0,2,voxelwise_rft
0.15,0.0,1.75,0.1,2,voxelwise_rft
0.15,8.264462809917355e-05,1.75,0.25,2,voxelwise_rft
0.05,0.0,1.75,0.5,2,voxelwise_rft
0.1,0.00041322314049586776,1.75,0.75,2,voxelwise_rft
0.05,0.0,1.75,1.0,2,voxelwise_rft
0.0,8.264462809917355e-05,1.75,1.25,2,voxelwise_rft
0.0,8.264462809917355e-05,1.75,1.5,2,voxelwise_rft
0.15,0.001983471074380165,1.75,1.75,2,voxelwise_rft
0.1,8.264462809917355e-05,1.75,2.0,2,voxelwise_rft
0.1,0.0002479338842975206,1.75,2.25,2,voxelwise_rft
0.05,0.001983471074380165,1.75,2.5,2,voxelwise_rft
0.25,0.0035537190082644632,1.75,2.75,2,voxelwise_rft
0.1,0.0,1.75,3.0,2,voxelwise_rft
0.3,0.001291248206599713,2.0,0.0,2,voxelwise_rft
0.1,0.0,2.0,0.1,2,voxelwise_rft
0.15,0.0002152080344332855,2.0,0.25,2,voxelwise_rft
0.05,7.173601147776183e-05,2.0,0.5,2,voxelwise_rft
0.2,0.0,2.0,0.75,2,voxelwise_rft
0.1,0.0003586800573888092,2.0,1.0,2,voxelwise_rft
0.2,0.0005738880918220947,2.0,1.25,2,voxelwise_rft
0.15,0.010832137733142037,2.0,1.5,2,voxelwise_rft
0.3,0.0012195121951219512,2.0,1.75,2,voxelwise_rft
0.2,0.00014347202295552367,2.0,2.0,2,voxelwise_rft
0.2,0.002223816355810617,2.0,2.25,2,voxelwise_rft
0.2,0.0005738880918220947,2.0,2.5,2,voxelwise_rft
0.15,7.173601147776183e-05,2.0,2.75,2,voxelwise_rft
0.05,0.00014347202295552367,2.0,3.0,2,voxelwise_rft
0.15,6.242197253433208e-05,2.25,0.0,2,voxelwise_rft
0.15,0.0006242197253433209,2.25,0.1,2,voxelwise_rft
0.3,6.242197253433208e-05,2.25,0.25,2,voxelwise_rft
0.0,6.242197253433208e-05,2.25,0.5,2,voxelwise_rft
0.2,0.00018726591760299626,2.25,0.75,2,voxelwise_rft
0.1,0.00012484394506866417,2.25,1.0,2,voxelwise_rft
0.2,0.001622971285892634,2.25,1.25,2,voxelwise_rft
0.1,0.00012484394506866417,2.25,1.5,2,voxelwise_rft
0.1,0.016042446941323348,2.25,1.75,2,voxelwise_rft
0.15,0.00031210986267166043,2.25,2.0,2,voxelwise_rft
0.15,0.00037453183520599247,2.25,2.25,2,voxelwise_rft
