,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
69,0.0,,0.0,0.25,20,Clusterwise RFT,2.6,3.342128529470338
70,0.0,,0.0,0.25,20,Clusterwise RFT,3.0,3.338218112884363
71,0.0,,0.0,0.25,20,Clusterwise RFT,3.2,3.332357857650089
72,0.0,,0.0,0.25,30,Clusterwise RFT,2.6,3.330339520779783
73,0.0,,0.0,0.25,30,Clusterwise RFT,3.0,3.328646848503917
74,0.0,,0.0,0.25,30,Clusterwise RFT,3.2,3.324660714393379
75,0.0,,0.0,0.25,45,Clusterwise RFT,2.6,3.333599209644093
76,0.0,,0.0,0.25,45,Clusterwise RFT,3.0,3.328287134850644
77,0.0,,0.0,0.25,45,Clusterwise RFT,3.2,3.3337683797224393
78,0.01200000000000001,,0.0,0.25,60,Clusterwise RFT,2.6,3.3294655616604305
79,0.0010000000000000009,,0.0,0.25,60,Clusterwise RFT,3.0,3.3290924928773573
80,0.0,,0.0,0.25,60,Clusterwise RFT,3.2,3.3309366943505583
81,0.0,,0.0,0.5,2,Clusterwise RFT,2.6,3.3117789573897696
82,0.0,,0.0,0.5,2,Clusterwise RFT,3.0,3.2948223110029238
83,0.0,,0.0,0.5,2,Clusterwise RFT,3.2,3.3409962337270915
84,0.0,,0.0,0.5,5,Clusterwise RFT,2.6,3.3194914780444758
85,0.0,,0.0,0.5,5,Clusterwise RFT,3.0,3.3319431310309
86,0.0,,0.0,0.5,5,Clusterwise RFT,3.2,3.329279992304779
87,0.0,,0.0,0.5,7,Clusterwise RFT,2.6,3.3300116670408078
88,0.0,,0.0,0.5,7,Clusterwise RFT,3.0,3.3270988217818496
89,0.0,,0.0,0.5,7,Clusterwise RFT,3.2,3.3254416190963973
90,0.0,,0.0,0.5,10,Clusterwise RFT,2.6,3.3259427434094966
91,0.0,,0.0,0.5,10,Clusterwise RFT,3.0,3.3181278320765424
92,0.0,,0.0,0.5,10,Clusterwise RFT,3.2,3.323069783460105
93,0.007000000000000006,,0.0,0.5,15,Clusterwise RFT,2.6,3.332257904772063
94,0.0,,0.0,0.5,15,Clusterwise RFT,3.0,3.3331764970732185
95,0.0,,0.0,0.5,15,Clusterwise RFT,3.2,3.338877430642819
96,0.03300000000000003,,0.0,0.5,20,Clusterwise RFT,2.6,3.332602854742182
97,0.0050000000000000044,,0.0,0.5,20,Clusterwise RFT,3.0,3.3342105409481597
98,0.0,,0.0,0.5,20,Clusterwise RFT,3.2,3.342885605859459
99,0.15400000000000003,,0.0,0.5,30,Clusterwise RFT,2.6,3.3243951335123074
100,0.019000000000000017,,0.0,0.5,30,Clusterwise RFT,3.0,3.3299450898384277
101,0.008000000000000007,,0.0,0.5,30,Clusterwise RFT,3.2,3.328887664338392
102,0.21199999999999997,,0.0,0.5,45,Clusterwise RFT,2.6,3.3293900026520027
103,0.05400000000000005,,0.0,0.5,45,Clusterwise RFT,3.0,3.3288898631224493
104,0.027000000000000024,,0.0,0.5,45,Clusterwise RFT,3.2,3.33403397178857
105,0.20999999999999996,,0.0,0.5,60,Clusterwise RFT,2.6,3.3311015158322625
106,0.06399999999999995,,0.0,0.5,60,Clusterwise RFT,3.0,3.3258113431942493
107,0.038000000000000034,,0.0,0.5,60,Clusterwise RFT,3.2,3.3311192720923373
108,0.0,,0.0,0.75,2,Clusterwise RFT,2.6,3.3785318851473427
109,0.0,,0.0,0.75,2,Clusterwise RFT,3.0,3.3327032766175972
110,0.0,,0.0,0.75,2,Clusterwise RFT,3.2,3.333201628726062
111,0.0,,0.0,0.75,5,Clusterwise RFT,2.6,3.324423805365509
112,0.0,,0.0,0.75,5,Clusterwise RFT,3.0,3.3370698305582907
113,0.0,,0.0,0.75,5,Clusterwise RFT,3.2,3.341170150160457
114,0.0,,0.0,0.75,7,Clusterwise RFT,2.6,3.330640603024255
115,0.0,,0.0,0.75,7,Clusterwise RFT,3.0,3.3209656627712936
116,0.0,,0.0,0.75,7,Clusterwise RFT,3.2,3.3275046594371758
117,0.016000000000000014,,0.0,0.75,10,Clusterwise RFT,2.6,3.3386979516730624
118,0.0030000000000000027,,0.0,0.75,10,Clusterwise RFT,3.0,3.332118020328444
119,0.0,,0.0,0.75,10,Clusterwise RFT,3.2,3.331992003998814
120,0.13,,0.0,0.75,15,Clusterwise RFT,2.6,3.3336247546646702
121,0.01200000000000001,,0.0,0.75,15,Clusterwise RFT,3.0,3.331402570837226
122,0.0040000000000000036,,0.0,0.75,15,Clusterwise RFT,3.2,3.326414052722955
123,0.18700000000000006,,0.0,0.75,20,Clusterwise RFT,2.6,3.3315279968750273
124,0.05600000000000005,,0.0,0.75,20,Clusterwise RFT,3.0,3.338299914521572
125,0.018000000000000016,,0.0,0.75,20,Clusterwise RFT,3.2,3.3207881135363353
126,0.23399999999999999,,0.0,0.75,30,Clusterwise RFT,2.6,3.32973449854457
127,0.07799999999999996,,0.0,0.75,30,Clusterwise RFT,3.0,3.3312694904611106
128,0.03600000000000003,,0.0,0.75,30,Clusterwise RFT,3.2,3.3355085946067953
129,0.21899999999999997,,0.0,0.75,45,Clusterwise RFT,2.6,3.330055189988269
130,0.052000000000000046,,0.0,0.75,45,Clusterwise RFT,3.0,3.3333760948259306
131,0.04400000000000004,,0.0,0.75,45,Clusterwise RFT,3.2,3.3311195471208284
132,0.21199999999999997,,0.0,0.75,60,Clusterwise RFT,2.6,3.3291236892853946
133,0.07799999999999996,,0.0,0.75,60,Clusterwise RFT,3.0,3.3322238963280313
134,0.03400000000000003,,0.0,0.75,60,Clusterwise RFT,3.2,3.330573952247841
135,0.0,,0.0,1.0,2,Clusterwise RFT,2.6,3.3118391392924904
136,0.0,,0.0,1.0,2,Clusterwise RFT,3.0,3.3491907924437685
137,0.0,,0.0,1.0,2,Clusterwise RFT,3.2,3.326866531251828
138,0.0010000000000000009,,0.0,1.0,5,Clusterwise RFT,2.6,3.3261827479350012
139,0.0,,0.0,1.0,5,Clusterwise RFT,3.0,3.3238979378428946
140,0.0,,0.0,1.0,5,Clusterwise RFT,3.2,3.339860231722587
141,0.027000000000000024,,0.0,1.0,7,Clusterwise RFT,2.6,3.339673635385935
142,0.0,,0.0,1.0,7,Clusterwise RFT,3.0,3.3266305638701184
143,0.0,,0.0,1.0,7,Clusterwise RFT,3.2,3.3364717496025813
144,0.16300000000000003,,0.0,1.0,10,Clusterwise RFT,2.6,3.3269941478238056
145,0.017000000000000015,,0.0,1.0,10,Clusterwise RFT,3.0,3.342425936744502
146,0.006000000000000005,,0.0,1.0,10,Clusterwise RFT,3.2,3.3278192666129773
147,0.21899999999999997,,0.0,1.0,15,Clusterwise RFT,2.6,3.327823593023462
148,0.04800000000000004,,0.0,1.0,15,Clusterwise RFT,3.0,3.33126607448043
149,0.020000000000000018,,0.0,1.0,15,Clusterwise RFT,3.2,3.331900501254686
150,0.22399999999999998,,0.0,1.0,20,Clusterwise RFT,2.6,3.3332069022873836
151,0.06299999999999994,,0.0,1.0,20,Clusterwise RFT,3.0,3.341323125017955
152,0.030000000000000027,,0.0,1.0,20,Clusterwise RFT,3.2,3.3307594274356678
153,0.22999999999999998,,0.0,1.0,30,Clusterwise RFT,2.6,3.3319834628884846
154,0.06799999999999995,,0.0,1.0,30,Clusterwise RFT,3.0,3.327775250404372
155,0.030000000000000027,,0.0,1.0,30,Clusterwise RFT,3.2,3.3342152944522057
156,0.239,,0.0,1.0,45,Clusterwise RFT,2.6,3.326111924235733
157,0.06699999999999995,,0.0,1.0,45,Clusterwise RFT,3.0,3.3312689239641937
158,0.038000000000000034,,0.0,1.0,45,Clusterwise RFT,3.2,3.3300618721909934
159,0.22299999999999998,,0.0,1.0,60,Clusterwise RFT,2.6,3.3331837530484436
160,0.07299999999999995,,0.0,1.0,60,Clusterwise RFT,3.0,3.3266339170160877
161,0.029000000000000026,,0.0,1.0,60,Clusterwise RFT,3.2,3.3317797343551474
162,0.0,,0.0,1.25,2,Clusterwise RFT,2.6,3.3166656509107275
163,0.0,,0.0,1.25,2,Clusterwise RFT,3.0,3.3427488221085695
164,0.0,,0.0,1.25,2,Clusterwise RFT,3.2,3.325455613957391
165,0.01100000000000001,,0.0,1.25,5,Clusterwise RFT,2.6,3.3435756882822467
166,0.0,,0.0,1.25,5,Clusterwise RFT,3.0,3.3442278094174855
167,0.0,,0.0,1.25,5,Clusterwise RFT,3.2,3.334184360551217
168,0.122,,0.0,1.25,7,Clusterwise RFT,2.6,3.319091214620514
169,0.01100000000000001,,0.0,1.25,7,Clusterwise RFT,3.0,3.329010908609627
170,0.0020000000000000018,,0.0,1.25,7,Clusterwise RFT,3.2,3.3340668986796382
171,0.19299999999999995,,0.0,1.25,10,Clusterwise RFT,2.6,3.339454778853967
172,0.04700000000000004,,0.0,1.25,10,Clusterwise RFT,3.0,3.337211244708217
173,0.015000000000000013,,0.0,1.25,10,Clusterwise RFT,3.2,3.335775468471988
174,0.22399999999999998,,0.0,1.25,15,Clusterwise RFT,2.6,3.318576742730905
175,0.061000000000000054,,0.0,1.25,15,Clusterwise RFT,3.0,3.3240001684621645
176,0.041000000000000036,,0.0,1.25,15,Clusterwise RFT,3.2,3.336271817808647
177,0.21599999999999997,,0.0,1.25,20,Clusterwise RFT,2.6,3.329853231749413
178,0.08499999999999996,,0.0,1.25,20,Clusterwise RFT,3.0,3.332771787415038
179,0.039000000000000035,,0.0,1.25,20,Clusterwise RFT,3.2,3.3277525739076856
180,0.22999999999999998,,0.0,1.25,30,Clusterwise RFT,2.6,3.3373390957798024
181,0.05600000000000005,,0.0,1.25,30,Clusterwise RFT,3.0,3.3352769888800093
182,0.025000000000000022,,0.0,1.25,30,Clusterwise RFT,3.2,3.333420572246853
183,0.22199999999999998,,0.0,1.25,45,Clusterwise RFT,2.6,3.3312371295602374
184,0.062000000000000055,,0.0,1.25,45,Clusterwise RFT,3.0,3.331607304667825
185,0.03700000000000003,,0.0,1.25,45,Clusterwise RFT,3.2,3.3308183363309096
186,0.22599999999999998,,0.0,1.25,60,Clusterwise RFT,2.6,3.327441513249306
187,0.07599999999999996,,0.0,1.25,60,Clusterwise RFT,3.0,3.3271609314928585
188,0.04300000000000004,,0.0,1.25,60,Clusterwise RFT,3.2,3.3275923353738364
189,0.0,,0.0,1.5,2,Clusterwise RFT,2.6,3.344350140410927
190,0.0,,0.0,1.5,2,Clusterwise RFT,3.0,3.3360897282877535
191,0.0,,0.0,1.5,2,Clusterwise RFT,3.2,3.330439481364014
192,0.04200000000000004,,0.0,1.5,5,Clusterwise RFT,2.6,3.3331345813793622
193,0.0,,0.0,1.5,5,Clusterwise RFT,3.0,3.321856913074479
194,0.0,,0.0,1.5,5,Clusterwise RFT,3.2,3.32958226676738
195,0.15200000000000002,,0.0,1.5,7,Clusterwise RFT,2.6,3.336510076540441
196,0.018000000000000016,,0.0,1.5,7,Clusterwise RFT,3.0,3.337889252974822
197,0.006000000000000005,,0.0,1.5,7,Clusterwise RFT,3.2,3.3260814089929465
198,0.21499999999999997,,0.0,1.5,10,Clusterwise RFT,2.6,3.3381621105940087
199,0.07499999999999996,,0.0,1.5,10,Clusterwise RFT,3.0,3.324695529199874
200,0.02200000000000002,,0.0,1.5,10,Clusterwise RFT,3.2,3.3294749850864074
201,0.22799999999999998,,0.0,1.5,15,Clusterwise RFT,2.6,3.329453317989231
202,0.06499999999999995,,0.0,1.5,15,Clusterwise RFT,3.0,3.320096131266978
203,0.025000000000000022,,0.0,1.5,15,Clusterwise RFT,3.2,3.3338517087250668
204,0.22899999999999998,,0.0,1.5,20,Clusterwise RFT,2.6,3.334111322879147
205,0.07699999999999996,,0.0,1.5,20,Clusterwise RFT,3.0,3.3356583741776413
206,0.051000000000000045,,0.0,1.5,20,Clusterwise RFT,3.2,3.3337887867523603
207,0.21899999999999997,,0.0,1.5,30,Clusterwise RFT,2.6,3.328167399946005
208,0.07199999999999995,,0.0,1.5,30,Clusterwise RFT,3.0,3.3351250245806954
209,0.040000000000000036,,0.0,1.5,30,Clusterwise RFT,3.2,3.3343076348563865
210,0.23099999999999998,,0.0,1.5,45,Clusterwise RFT,2.6,3.3315786909384726
211,0.06799999999999995,,0.0,1.5,45,Clusterwise RFT,3.0,3.326998535397186
212,0.03700000000000003,,0.0,1.5,45,Clusterwise RFT,3.2,3.3300067379213814
213,0.21299999999999997,,0.0,1.5,60,Clusterwise RFT,2.6,3.3290600776820107
214,0.07499999999999996,,0.0,1.5,60,Clusterwise RFT,3.0,3.3320441573657926
215,0.030000000000000027,,0.0,1.5,60,Clusterwise RFT,3.2,3.324118904523383
216,0.0,,0.0,1.75,2,Clusterwise RFT,2.6,3.345730733826336
217,0.0,,0.0,1.75,2,Clusterwise RFT,3.0,3.335379119990732
218,0.0,,0.0,1.75,2,Clusterwise RFT,3.2,3.309182230620041
219,0.10799999999999998,,0.0,1.75,5,Clusterwise RFT,2.6,3.3355927128671023
220,0.006000000000000005,,0.0,1.75,5,Clusterwise RFT,3.0,3.3248058608363564
221,0.0,,0.0,1.75,5,Clusterwise RFT,3.2,3.342756934754664
222,0.19999999999999996,,0.0,1.75,7,Clusterwise RFT,2.6,3.324795465551705
223,0.05300000000000005,,0.0,1.75,7,Clusterwise RFT,3.0,3.3328667359987216
224,0.016000000000000014,,0.0,1.75,7,Clusterwise RFT,3.2,3.3220801585163295
225,0.26,,0.0,1.75,10,Clusterwise RFT,2.6,3.335598578013929
226,0.051000000000000045,,0.0,1.75,10,Clusterwise RFT,3.0,3.3202102122317694
227,0.03400000000000003,,0.0,1.75,10,Clusterwise RFT,3.2,3.3405918546863145
228,0.21499999999999997,,0.0,1.75,15,Clusterwise RFT,2.6,3.324416572425812
229,0.06999999999999995,,0.0,1.75,15,Clusterwise RFT,3.0,3.332525237143706
230,0.03200000000000003,,0.0,1.75,15,Clusterwise RFT,3.2,3.3220517203448345
231,0.21099999999999997,,0.0,1.75,20,Clusterwise RFT,2.6,3.330090035677597
232,0.06499999999999995,,0.0,1.75,20,Clusterwise RFT,3.0,3.3329040205101323
233,0.04200000000000004,,0.0,1.75,20,Clusterwise RFT,3.2,3.3306176930037092
234,0.236,,0.0,1.75,30,Clusterwise RFT,2.6,3.3322291373514146
235,0.06499999999999995,,0.0,1.75,30,Clusterwise RFT,3.0,3.338014706661552
236,0.05300000000000005,,0.0,1.75,30,Clusterwise RFT,3.2,3.3302736076080146
237,0.236,,0.0,1.75,45,Clusterwise RFT,2.6,3.32535532233097
238,0.06599999999999995,,0.0,1.75,45,Clusterwise RFT,3.0,3.3288900003096504
239,0.03600000000000003,,0.0,1.75,45,Clusterwise RFT,3.2,3.3348511333055253
240,0.21499999999999997,,0.0,1.75,60,Clusterwise RFT,2.6,3.3275956721389535
241,0.062000000000000055,,0.0,1.75,60,Clusterwise RFT,3.0,3.3343304701611705
242,0.026000000000000023,,0.0,1.75,60,Clusterwise RFT,3.2,3.3299214905386867
243,0.0,,0.0,2.0,2,Clusterwise RFT,2.6,3.3253355966898552
244,0.0,,0.0,2.0,2,Clusterwise RFT,3.0,3.341407106512021
245,0.0,,0.0,2.0,2,Clusterwise RFT,3.2,3.315105398339238
246,0.15000000000000002,,0.0,2.0,5,Clusterwise RFT,2.6,3.3246578254350267
247,0.01100000000000001,,0.0,2.0,5,Clusterwise RFT,3.0,3.310072136867358
248,0.0020000000000000018,,0.0,2.0,5,Clusterwise RFT,3.2,3.3259410262047298
249,0.235,,0.0,2.0,7,Clusterwise RFT,2.6,3.3299656340046724
250,0.05800000000000005,,0.0,2.0,7,Clusterwise RFT,3.0,3.324603246995323
251,0.025000000000000022,,0.0,2.0,7,Clusterwise RFT,3.2,3.329163399136469
252,0.23399999999999999,,0.0,2.0,10,Clusterwise RFT,2.6,3.324097919317853
253,0.06299999999999994,,0.0,2.0,10,Clusterwise RFT,3.0,3.3353982862076554
254,0.04700000000000004,,0.0,2.0,10,Clusterwise RFT,3.2,3.3294884983211426
255,0.20699999999999996,,0.0,2.0,15,Clusterwise RFT,2.6,3.331828023979261
256,0.07599999999999996,,0.0,2.0,15,Clusterwise RFT,3.0,3.3391338011553677
257,0.030000000000000027,,0.0,2.0,15,Clusterwise RFT,3.2,3.3261357646211756
258,0.22399999999999998,,0.0,2.0,20,Clusterwise RFT,2.6,3.334800799265895
259,0.07899999999999996,,0.0,2.0,20,Clusterwise RFT,3.0,3.329228826519556
260,0.03600000000000003,,0.0,2.0,20,Clusterwise RFT,3.2,3.326746022881732
261,0.21299999999999997,,0.0,2.0,30,Clusterwise RFT,2.6,3.3303932221074115
262,0.07299999999999995,,0.0,2.0,30,Clusterwise RFT,3.0,3.325665558637244
263,0.04600000000000004,,0.0,2.0,30,Clusterwise RFT,3.2,3.330032333408524
264,0.22499999999999998,,0.0,2.0,45,Clusterwise RFT,2.6,3.3278957763008714
265,0.06799999999999995,,0.0,2.0,45,Clusterwise RFT,3.0,3.329870999557845
266,0.039000000000000035,,0.0,2.0,45,Clusterwise RFT,3.2,3.3310397583702303
267,0.254,,0.0,2.0,60,Clusterwise RFT,2.6,3.3277998860712845
268,0.06599999999999995,,0.0,2.0,60,Clusterwise RFT,3.0,3.3288703081169313
269,0.041000000000000036,,0.0,2.0,60,Clusterwise RFT,3.2,3.3276189323076535
270,0.0,,0.0,2.25,2,Clusterwise RFT,2.6,3.339918200347877
271,0.0,,0.0,2.25,2,Clusterwise RFT,3.0,3.3224052044429033
272,0.0,,0.0,2.25,2,Clusterwise RFT,3.2,3.36789646239698
