,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
69,0.0,,0.0,0.25,20,Clusterwise RFT,2.6,3.3302018257482695
70,0.0,,0.0,0.25,20,Clusterwise RFT,3.0,3.333233214285381
71,0.0,,0.0,0.25,20,Clusterwise RFT,3.2,3.3250971294339395
72,0.0,,0.0,0.25,30,Clusterwise RFT,2.6,3.331282958987807
73,0.0,,0.0,0.25,30,Clusterwise RFT,3.0,3.331544570344675
74,0.0,,0.0,0.25,30,Clusterwise RFT,3.2,3.33690841309851
75,0.0,,0.0,0.25,45,Clusterwise RFT,2.6,3.328279964676109
76,0.0,,0.0,0.25,45,Clusterwise RFT,3.0,3.3306597325465392
77,0.0,,0.0,0.25,45,Clusterwise RFT,3.2,3.331613657658129
78,0.020000000000000018,,0.0,0.25,60,Clusterwise RFT,2.6,3.332494934913869
79,0.0,,0.0,0.25,60,Clusterwise RFT,3.0,3.3332887885023346
80,0.0,,0.0,0.25,60,Clusterwise RFT,3.2,3.329054152768418
81,0.0,,0.0,0.5,2,Clusterwise RFT,2.6,3.3481604735455095
82,0.0,,0.0,0.5,2,Clusterwise RFT,3.0,3.3180694508770676
83,0.0,,0.0,0.5,2,Clusterwise RFT,3.2,3.336137117870358
84,0.0,,0.0,0.5,5,Clusterwise RFT,2.6,3.3405749687055044
85,0.0,,0.0,0.5,5,Clusterwise RFT,3.0,3.317820377690035
86,0.0,,0.0,0.5,5,Clusterwise RFT,3.2,3.320031289332735
87,0.0,,0.0,0.5,7,Clusterwise RFT,2.6,3.329306537487299
88,0.0,,0.0,0.5,7,Clusterwise RFT,3.0,3.3195557029772176
89,0.0,,0.0,0.5,7,Clusterwise RFT,3.2,3.334863399093432
90,0.0,,0.0,0.5,10,Clusterwise RFT,2.6,3.3313792481778197
91,0.0,,0.0,0.5,10,Clusterwise RFT,3.0,3.3171384880884798
92,0.0,,0.0,0.5,10,Clusterwise RFT,3.2,3.3350430824579083
93,0.0,,0.0,0.5,15,Clusterwise RFT,2.6,3.3316494460797377
94,0.0,,0.0,0.5,15,Clusterwise RFT,3.0,3.3349146192216557
95,0.0,,0.0,0.5,15,Clusterwise RFT,3.2,3.3278027388304157
96,0.040000000000000036,,0.0,0.5,20,Clusterwise RFT,2.6,3.341321638350259
97,0.010000000000000009,,0.0,0.5,20,Clusterwise RFT,3.0,3.3324412606037113
98,0.0,,0.0,0.5,20,Clusterwise RFT,3.2,3.3263219575515675
99,0.16000000000000003,,0.0,0.5,30,Clusterwise RFT,2.6,3.329169415246459
100,0.0,,0.0,0.5,30,Clusterwise RFT,3.0,3.329778895831315
101,0.020000000000000018,,0.0,0.5,30,Clusterwise RFT,3.2,3.3286340743748575
102,0.20999999999999996,,0.0,0.5,45,Clusterwise RFT,2.6,3.326202758163114
103,0.07999999999999996,,0.0,0.5,45,Clusterwise RFT,3.0,3.330527221294437
104,0.020000000000000018,,0.0,0.5,45,Clusterwise RFT,3.2,3.3332555595691438
105,0.16000000000000003,,0.0,0.5,60,Clusterwise RFT,2.6,3.3307823168139428
106,0.050000000000000044,,0.0,0.5,60,Clusterwise RFT,3.0,3.3354215185702305
107,0.06000000000000005,,0.0,0.5,60,Clusterwise RFT,3.2,3.3301387839992618
108,0.0,,0.0,0.75,2,Clusterwise RFT,2.6,3.324359782177243
109,0.0,,0.0,0.75,2,Clusterwise RFT,3.0,3.316697784903228
110,0.0,,0.0,0.75,2,Clusterwise RFT,3.2,3.332407085857982
111,0.0,,0.0,0.75,5,Clusterwise RFT,2.6,3.3237433978490305
112,0.0,,0.0,0.75,5,Clusterwise RFT,3.0,3.3183555464194883
113,0.0,,0.0,0.75,5,Clusterwise RFT,3.2,3.3245065753557816
114,0.0,,0.0,0.75,7,Clusterwise RFT,2.6,3.3376534307273036
115,0.0,,0.0,0.75,7,Clusterwise RFT,3.0,3.327645860579284
116,0.0,,0.0,0.75,7,Clusterwise RFT,3.2,3.335342887315328
117,0.0,,0.0,0.75,10,Clusterwise RFT,2.6,3.3293854402919907
118,0.010000000000000009,,0.0,0.75,10,Clusterwise RFT,3.0,3.324578371217585
119,0.0,,0.0,0.75,10,Clusterwise RFT,3.2,3.320985843291139
120,0.07999999999999996,,0.0,0.75,15,Clusterwise RFT,2.6,3.332347527326287
121,0.020000000000000018,,0.0,0.75,15,Clusterwise RFT,3.0,3.32123768363316
122,0.0,,0.0,0.75,15,Clusterwise RFT,3.2,3.3212351952860586
123,0.21999999999999997,,0.0,0.75,20,Clusterwise RFT,2.6,3.3337884474533506
124,0.050000000000000044,,0.0,0.75,20,Clusterwise RFT,3.0,3.3259533737822236
125,0.020000000000000018,,0.0,0.75,20,Clusterwise RFT,3.2,3.328254975997014
126,0.14,,0.0,0.75,30,Clusterwise RFT,2.6,3.3292696145130654
127,0.07999999999999996,,0.0,0.75,30,Clusterwise RFT,3.0,3.3318393251380134
128,0.010000000000000009,,0.0,0.75,30,Clusterwise RFT,3.2,3.3282927362613326
129,0.18000000000000005,,0.0,0.75,45,Clusterwise RFT,2.6,3.3311401489630836
130,0.06999999999999995,,0.0,0.75,45,Clusterwise RFT,3.0,3.333526236043782
131,0.040000000000000036,,0.0,0.75,45,Clusterwise RFT,3.2,3.3348148549849443
132,0.22999999999999998,,0.0,0.75,60,Clusterwise RFT,2.6,3.3316248859306965
133,0.050000000000000044,,0.0,0.75,60,Clusterwise RFT,3.0,3.332257711789148
134,0.050000000000000044,,0.0,0.75,60,Clusterwise RFT,3.2,3.3257019221060697
135,0.0,,0.0,1.0,2,Clusterwise RFT,2.6,3.3533420928291795
136,0.0,,0.0,1.0,2,Clusterwise RFT,3.0,3.3220805677100933
137,0.0,,0.0,1.0,2,Clusterwise RFT,3.2,3.3263003724909144
138,0.0,,0.0,1.0,5,Clusterwise RFT,2.6,3.333240105128118
139,0.0,,0.0,1.0,5,Clusterwise RFT,3.0,3.336907224122637
140,0.0,,0.0,1.0,5,Clusterwise RFT,3.2,3.3347232754165304
141,0.020000000000000018,,0.0,1.0,7,Clusterwise RFT,2.6,3.3270563847045476
142,0.0,,0.0,1.0,7,Clusterwise RFT,3.0,3.324233512701691
143,0.0,,0.0,1.0,7,Clusterwise RFT,3.2,3.3335388646729807
144,0.10999999999999999,,0.0,1.0,10,Clusterwise RFT,2.6,3.329792692220944
145,0.020000000000000018,,0.0,1.0,10,Clusterwise RFT,3.0,3.3488809940512168
146,0.010000000000000009,,0.0,1.0,10,Clusterwise RFT,3.2,3.3248693750848526
147,0.21999999999999997,,0.0,1.0,15,Clusterwise RFT,2.6,3.322105033125377
148,0.040000000000000036,,0.0,1.0,15,Clusterwise RFT,3.0,3.3323034689904345
149,0.010000000000000009,,0.0,1.0,15,Clusterwise RFT,3.2,3.3189742678690632
150,0.22999999999999998,,0.0,1.0,20,Clusterwise RFT,2.6,3.3283359742202343
151,0.08999999999999997,,0.0,1.0,20,Clusterwise RFT,3.0,3.3267541950906057
152,0.030000000000000027,,0.0,1.0,20,Clusterwise RFT,3.2,3.3341528002721375
153,0.29000000000000004,,0.0,1.0,30,Clusterwise RFT,2.6,3.3315509177613087
154,0.06999999999999995,,0.0,1.0,30,Clusterwise RFT,3.0,3.332294957289838
155,0.030000000000000027,,0.0,1.0,30,Clusterwise RFT,3.2,3.3320882439012793
156,0.20999999999999996,,0.0,1.0,45,Clusterwise RFT,2.6,3.32919064831785
157,0.06000000000000005,,0.0,1.0,45,Clusterwise RFT,3.0,3.327151586327247
158,0.06999999999999995,,0.0,1.0,45,Clusterwise RFT,3.2,3.3349711634705677
159,0.25,,0.0,1.0,60,Clusterwise RFT,2.6,3.327880519957052
160,0.040000000000000036,,0.0,1.0,60,Clusterwise RFT,3.0,3.327976669159661
161,0.06999999999999995,,0.0,1.0,60,Clusterwise RFT,3.2,3.3330948515768504
162,0.0,,0.0,1.25,2,Clusterwise RFT,2.6,3.342096914941194
163,0.0,,0.0,1.25,2,Clusterwise RFT,3.0,3.3422992577811916
164,0.0,,0.0,1.25,2,Clusterwise RFT,3.2,3.3281656459970126
165,0.0,,0.0,1.25,5,Clusterwise RFT,2.6,3.3206041966009385
166,0.0,,0.0,1.25,5,Clusterwise RFT,3.0,3.338373585627131
167,0.0,,0.0,1.25,5,Clusterwise RFT,3.2,3.3408578084380953
168,0.09999999999999998,,0.0,1.25,7,Clusterwise RFT,2.6,3.3303299912075053
169,0.0,,0.0,1.25,7,Clusterwise RFT,3.0,3.324256955237485
170,0.010000000000000009,,0.0,1.25,7,Clusterwise RFT,3.2,3.317171315328605
171,0.18000000000000005,,0.0,1.25,10,Clusterwise RFT,2.6,3.325446201057903
172,0.06000000000000005,,0.0,1.25,10,Clusterwise RFT,3.0,3.3206755784661572
173,0.010000000000000009,,0.0,1.25,10,Clusterwise RFT,3.2,3.3337823466861725
174,0.19999999999999996,,0.0,1.25,15,Clusterwise RFT,2.6,3.339474609693953
175,0.12,,0.0,1.25,15,Clusterwise RFT,3.0,3.3259662628992213
176,0.030000000000000027,,0.0,1.25,15,Clusterwise RFT,3.2,3.328768543513778
