,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
69,0.0,,0.0,0.0,30,Clusterwise RFT,3.0,3.3246640771893174
70,0.0,,0.0,0.0,30,Clusterwise RFT,3.2,3.326924409603236
71,0.0,,0.0,0.0,30,Clusterwise RFT,3.4,3.326055110337572
72,0.0,,0.0,0.0,30,Clusterwise RFT,3.6,3.32982119859855
73,0.0,,0.0,0.0,30,Clusterwise RFT,3.8,3.327120417729213
74,0.0,,0.0,0.0,30,Clusterwise RFT,4.0,3.3265115205579177
75,0.0,,0.0,0.0,30,Clusterwise RFT,4.2,3.3248013770034692
76,0.0,,0.0,0.0,30,Clusterwise RFT,4.6,3.3328704735397063
77,0.0,,0.0,0.0,45,Clusterwise RFT,2.4,3.325852747487035
78,0.0,,0.0,0.0,45,Clusterwise RFT,2.6,3.33403886999146
79,0.0,,0.0,0.0,45,Clusterwise RFT,2.8,3.336932421988202
80,0.0,,0.0,0.0,45,Clusterwise RFT,3.0,3.3286217126151376
81,0.0,,0.0,0.0,45,Clusterwise RFT,3.2,3.334935926219905
82,0.0,,0.0,0.0,45,Clusterwise RFT,3.4,3.3315848802684487
83,0.0,,0.0,0.0,45,Clusterwise RFT,3.6,3.330402758116704
84,0.0,,0.0,0.0,45,Clusterwise RFT,3.8,3.3265701909161907
85,0.0,,0.0,0.0,45,Clusterwise RFT,4.0,3.3310929025371925
86,0.0,,0.0,0.0,45,Clusterwise RFT,4.2,3.325416638130682
87,0.0,,0.0,0.0,45,Clusterwise RFT,4.6,3.335914436912831
88,0.0,,0.0,0.0,60,Clusterwise RFT,2.4,3.3300097206979853
89,0.0,,0.0,0.0,60,Clusterwise RFT,2.6,3.3321865398676835
90,0.0,,0.0,0.0,60,Clusterwise RFT,2.8,3.3319950117208914
91,0.0,,0.0,0.0,60,Clusterwise RFT,3.0,3.333336138007805
92,0.0,,0.0,0.0,60,Clusterwise RFT,3.2,3.329601905678836
93,0.0,,0.0,0.0,60,Clusterwise RFT,3.4,3.3359782157347544
94,0.0,,0.0,0.0,60,Clusterwise RFT,3.6,3.331865593570887
95,0.0,,0.0,0.0,60,Clusterwise RFT,3.8,3.334660733592013
96,0.0,,0.0,0.0,60,Clusterwise RFT,4.0,3.3299316357211546
97,0.0,,0.0,0.0,60,Clusterwise RFT,4.2,3.3269805390013647
98,0.0,,0.0,0.0,60,Clusterwise RFT,4.6,3.327602932516798
