fwer,sensitivity,sm_sigma,snr,n,method,u_crit
0.2293333333333333,0.0001281683405069,2.0,0.5,2,voxelwise_rft,3.951397021980138
0.2226666666666666,0.000131994261119,2.0,0.75,2,voxelwise_rft,3.951397021980138
0.2333333333333333,0.000208512673362,2.0,1.0,2,voxelwise_rft,3.951397021980138
0.228,0.0002429459588713,2.0,1.25,2,voxelwise_rft,3.951397021980138
0.2413333333333333,0.0002678144428503,2.0,1.5,2,voxelwise_rft,3.951397021980138
0.2413333333333333,0.0003500717360114,2.0,1.75,2,voxelwise_rft,3.951397021980138
0.2093333333333333,0.0004093735054997,2.0,2.0,2,voxelwise_rft,3.951397021980138
0.2346666666666666,0.0004208512673362,2.0,2.25,2,voxelwise_rft,3.951397021980138
0.236,0.0004495456719273,2.0,2.5,2,voxelwise_rft,3.951397021980138
0.2106666666666666,0.0004648493543758,2.0,2.75,2,voxelwise_rft,3.951397021980138
0.2466666666666666,0.0005834528933524,2.0,3.0,2,voxelwise_rft,3.951397021980138
0.28,8.822305451518935e-05,2.25,0.0,2,voxelwise_rft,3.890207520547001
0.284,0.0001398252184769,2.25,0.1,2,voxelwise_rft,3.890207520547001
0.2626666666666666,0.0001448189762796,2.25,0.25,2,voxelwise_rft,3.890207520547001
0.2506666666666666,0.0001797752808988,2.25,0.5,2,voxelwise_rft,3.890207520547001
0.2706666666666666,0.0001764461090303,2.25,0.75,2,voxelwise_rft,3.890207520547001
0.2853333333333333,0.000274656679151,2.25,1.0,2,voxelwise_rft,3.890207520547001
0.2946666666666667,0.0003096129837702,2.25,1.25,2,voxelwise_rft,3.890207520547001
0.2466666666666666,0.0003179359134415,2.25,1.5,2,voxelwise_rft,3.890207520547001
0.2853333333333333,0.0004294631710362,2.25,1.75,2,voxelwise_rft,3.890207520547001
0.292,0.0004594257178526,2.25,2.0,2,voxelwise_rft,3.890207520547001
0.3,0.0004993757802746,2.25,2.25,2,voxelwise_rft,3.890207520547001
0.2706666666666666,0.0005043695380774,2.25,2.5,2,voxelwise_rft,3.890207520547001
0.2706666666666666,0.0006075738660008,2.25,2.75,2,voxelwise_rft,3.890207520547001
0.2653333333333333,0.0006325426550145,2.25,3.0,2,voxelwise_rft,3.890207520547001
0.372,0.0001153705732018,2.5,0.0,2,voxelwise_rft,3.83781368500796
0.2946666666666667,0.0001109894121942,2.5,0.1,2,voxelwise_rft,3.83781368500796
0.2973333333333333,0.0001285140562248,2.5,0.25,2,voxelwise_rft,3.83781368500796
0.296,0.0002336619204089,2.5,0.5,2,voxelwise_rft,3.83781368500796
0.312,0.0002833150784958,2.5,0.75,2,voxelwise_rft,3.83781368500796
0.328,0.0003110624315443,2.5,1.0,2,voxelwise_rft,3.83781368500796
0.3293333333333333,0.0003446513326031,2.5,1.25,2,voxelwise_rft,3.83781368500796
0.3453333333333333,0.0004965315808689,2.5,1.5,2,voxelwise_rft,3.83781368500796
0.3093333333333333,0.0004950711938663,2.5,1.75,2,voxelwise_rft,3.83781368500796
0.32,0.0005505658999634,2.5,2.0,2,voxelwise_rft,3.83781368500796
0.3386666666666666,0.0006206644760861,2.5,2.25,2,voxelwise_rft,3.83781368500796
0.344,0.0006527929901423,2.5,2.5,2,voxelwise_rft,3.83781368500796
0.332,0.0007258123402701,2.5,2.75,2,voxelwise_rft,3.83781368500796
0.3386666666666666,0.0007185104052573,2.5,3.0,2,voxelwise_rft,3.83781368500796
0.356,0.0001626641050272,2.75,0.0,2,voxelwise_rft,3.788021995500629
0.348,0.0001511367275056,2.75,0.1,2,voxelwise_rft,3.788021995500629
0.3626666666666667,0.0002049311559398,2.75,0.25,2,voxelwise_rft,3.788021995500629
0.3693333333333333,0.0002548831252001,2.75,0.5,2,voxelwise_rft,3.788021995500629
0.3746666666666666,0.0003458213256484,2.75,0.75,2,voxelwise_rft,3.788021995500629
0.3666666666666666,0.0003688760806916,2.75,1.0,2,voxelwise_rft,3.788021995500629
0.3706666666666666,0.000455971821966,2.75,1.25,2,voxelwise_rft,3.788021995500629
0.3706666666666666,0.0004687800192122,2.75,1.5,2,voxelwise_rft,3.788021995500629
0.396,0.0006416906820365,2.75,1.75,2,voxelwise_rft,3.788021995500629
0.3613333333333333,0.0006634646173551,2.75,2.0,2,voxelwise_rft,3.788021995500629
0.348,0.0007339097022094,2.75,2.25,2,voxelwise_rft,3.788021995500629
0.3933333333333333,0.0007582452769772,2.75,2.5,2,voxelwise_rft,3.788021995500629
0.3466666666666667,0.0008427793788024,2.75,2.75,2,voxelwise_rft,3.788021995500629
0.3466666666666667,0.000942683317323,2.75,3.0,2,voxelwise_rft,3.788021995500629
0.412,0.0001757733448973,3.0,0.0,2,voxelwise_rft,3.742313670870313
0.4186666666666667,0.0001827117664064,3.0,0.1,2,voxelwise_rft,3.742313670870313
0.4053333333333333,0.0002139346631974,3.0,0.25,2,voxelwise_rft,3.742313670870313
0.3786666666666666,0.0002914137033824,3.0,0.5,2,voxelwise_rft,3.742313670870313
0.3813333333333333,0.0004139924833766,3.0,0.75,2,voxelwise_rft,3.742313670870313
0.44,0.0004671870482798,3.0,1.0,2,voxelwise_rft,3.742313670870313
0.3946666666666666,0.0005342584562012,3.0,1.25,2,voxelwise_rft,3.742313670870313
0.4093333333333333,0.0006047990748771,3.0,1.5,2,voxelwise_rft,3.742313670870313
0.4,0.0007042497831743,3.0,1.75,2,voxelwise_rft,3.742313670870313
0.3973333333333333,0.0007875108412836,3.0,2.0,2,voxelwise_rft,3.742313670870313
0.3973333333333333,0.0008904307603353,3.0,2.25,2,voxelwise_rft,3.742313670870313
