FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,t-dist,2.8,2.360568296949189
0.0,0.0,0.0,0.0,5,t-dist,2.8,2.368687693840898
0.0,0.0,0.0,0.0,7,t-dist,2.8,2.368330114334072
0.0,0.0,0.0,0.0,10,t-dist,2.8,2.3678667658797274
0.0,0.0,0.0,0.0,15,t-dist,2.8,2.359913465347505
0.0,0.0,0.0,0.0,20,t-dist,2.8,2.3558294466096994
0.0,0.0,0.0,0.0,30,t-dist,2.8,2.35512836255783
0.0,0.0,0.0,0.0,45,t-dist,2.8,2.3608835128902412
0.0,0.0,0.0,0.0,60,t-dist,2.8,2.3619237856196373
0.0,0.0,0.0,0.1,2,t-dist,2.8,2.360568296949189
0.0,0.0,0.0,0.1,5,t-dist,2.8,2.368687693840898
0.0,0.0,0.0,0.1,7,t-dist,2.8,2.368330114334072
0.0,0.0,0.0,0.1,10,t-dist,2.8,2.3678667658797274
0.0,0.0,0.0,0.1,15,t-dist,2.8,2.359913465347505
0.0,0.0,0.0,0.1,20,t-dist,2.8,2.3558294466096994
0.0,0.0,0.0,0.1,30,t-dist,2.8,2.35512836255783
0.0,0.0,0.0,0.1,45,t-dist,2.8,2.3608835128902412
0.0,0.0,0.0,0.1,60,t-dist,2.8,2.3619237856196373
0.0,0.0,0.0,0.25,2,t-dist,2.8,2.360568296949189
0.0,0.0,0.0,0.25,5,t-dist,2.8,2.368687693840898
0.0,0.0,0.0,0.25,7,t-dist,2.8,2.368330114334072
0.0,0.0,0.0,0.25,10,t-dist,2.8,2.3678667658797274
0.0,0.0,0.0,0.25,15,t-dist,2.8,2.359913465347505
0.0,0.0,0.0,0.25,20,t-dist,2.8,2.3558294466096994
0.0,0.0,0.0,0.25,30,t-dist,2.8,2.35512836255783
0.0,0.0,0.0,0.25,45,t-dist,2.8,2.3608835128902412
0.0,0.0,0.0,0.25,60,t-dist,2.8,2.3619237856196373
0.0,0.0,0.0,0.5,2,t-dist,2.8,2.360568296949189
0.0,0.0,0.0,0.5,5,t-dist,2.8,2.368687693840898
0.0,0.0,0.0,0.5,7,t-dist,2.8,2.368330114334072
0.0,0.0,0.0,0.5,10,t-dist,2.8,2.3678667658797274
0.0,0.0,0.0,0.5,15,t-dist,2.8,2.359913465347505
0.0,0.00031268436578171094,0.0,0.5,20,t-dist,2.8,2.3558294466096994
0.0020000000000000018,0.008979351032448377,0.0,0.5,30,t-dist,2.8,2.35512836255783
0.011333333333333306,0.09420648967551623,0.0,0.5,45,t-dist,2.8,2.3608835128902412
0.03533333333333333,0.2548318584070796,0.0,0.5,60,t-dist,2.8,2.3619237856196373
0.0,0.0,0.0,0.75,2,t-dist,2.8,2.360568296949189
0.0,0.0,0.0,0.75,5,t-dist,2.8,2.368687693840898
0.0,0.0,0.0,0.75,7,t-dist,2.8,2.368330114334072
0.0,0.0005368731563421829,0.0,0.75,10,t-dist,2.8,2.3678667658797274
0.0033333333333332993,0.01591150442477876,0.0,0.75,15,t-dist,2.8,2.359913465347505
0.008666666666666711,0.09137463126843659,0.0,0.75,20,t-dist,2.8,2.3558294466096994
0.04066666666666663,0.3461710914454278,0.0,0.75,30,t-dist,2.8,2.35512836255783
0.08066666666666666,0.6010442477876107,0.0,0.75,45,t-dist,2.8,2.3608835128902412
0.10333333333333339,0.7458466076696165,0.0,0.75,60,t-dist,2.8,2.3619237856196373
0.0,0.0,0.0,1.0,2,t-dist,2.8,2.360568296949189
0.0,0.0,0.0,1.0,5,t-dist,2.8,2.368687693840898
0.0,0.0004247787610619469,0.0,1.0,7,t-dist,2.8,2.368330114334072
0.002666666666666706,0.028436578171091444,0.0,1.0,10,t-dist,2.8,2.3678667658797274
