fwer,sensitivity,sm_sigma,snr,n,method
0.05,0.0013986013986013986,1.25,2.25,2,voxelwise_rft
0.0,0.0,1.25,2.5,2,voxelwise_rft
0.25,0.005244755244755245,1.25,2.75,2,voxelwise_rft
0.05,0.0004662004662004662,1.25,3.0,2,voxelwise_rft
0.2,0.00019646365422396856,1.5,0.0,2,voxelwise_rft
0.25,0.00068762278978389,1.5,0.1,2,voxelwise_rft
0.05,0.0,1.5,0.25,2,voxelwise_rft
0.1,0.0011787819253438114,1.5,0.5,2,voxelwise_rft
0.05,0.00019646365422396856,1.5,0.75,2,voxelwise_rft
0.1,0.0005893909626719057,1.5,1.0,2,voxelwise_rft
0.05,0.0,1.5,1.25,2,voxelwise_rft
0.1,0.0,1.5,1.5,2,voxelwise_rft
0.1,0.00019646365422396856,1.5,1.75,2,voxelwise_rft
0.2,0.0003929273084479371,1.5,2.0,2,voxelwise_rft
0.05,0.0,1.5,2.25,2,voxelwise_rft
0.15,0.0,1.5,2.5,2,voxelwise_rft
0.1,0.0,1.5,2.75,2,voxelwise_rft
0.2,0.0003929273084479371,1.5,3.0,2,voxelwise_rft
0.2,0.0029752066115702478,1.75,0.0,2,voxelwise_rft
0.2,0.0010743801652892562,1.75,0.1,2,voxelwise_rft
0.15,0.0002479338842975206,1.75,0.25,2,voxelwise_rft
0.2,0.0014876033057851239,1.75,0.5,2,voxelwise_rft
0.2,8.264462809917355e-05,1.75,0.75,2,voxelwise_rft
0.15,8.264462809917355e-05,1.75,1.0,2,voxelwise_rft
0.15,0.003966942148760331,1.75,1.25,2,voxelwise_rft
0.15,0.0001652892561983471,1.75,1.5,2,voxelwise_rft
0.1,0.0003305785123966942,1.75,1.75,2,voxelwise_rft
0.05,0.0,1.75,2.0,2,voxelwise_rft
0.05,8.264462809917355e-05,1.75,2.25,2,voxelwise_rft
0.1,0.0002479338842975206,1.75,2.5,2,voxelwise_rft
0.0,0.0001652892561983471,1.75,2.75,2,voxelwise_rft
0.2,0.003801652892561983,1.75,3.0,2,voxelwise_rft
0.2,0.00021520803443328553,2.0,0.0,2,voxelwise_rft
0.2,0.0016499282639885222,2.0,0.1,2,voxelwise_rft
0.1,0.0,2.0,0.25,2,voxelwise_rft
0.05,0.00014347202295552367,2.0,0.5,2,voxelwise_rft
0.15,0.0018651362984218075,2.0,0.75,2,voxelwise_rft
0.1,0.00014347202295552367,2.0,1.0,2,voxelwise_rft
0.05,7.173601147776183e-05,2.0,1.25,2,voxelwise_rft
0.1,0.0003586800573888092,2.0,1.5,2,voxelwise_rft
0.1,0.00014347202295552367,2.0,1.75,2,voxelwise_rft
0.15,0.0007173601147776184,2.0,2.0,2,voxelwise_rft
0.15,0.004878048780487805,2.0,2.25,2,voxelwise_rft
0.2,0.0028694404591104736,2.0,2.5,2,voxelwise_rft
0.15,0.0012195121951219512,2.0,2.75,2,voxelwise_rft
0.15,0.0015781922525107603,2.0,3.0,2,voxelwise_rft
0.1,0.0006242197253433209,2.25,0.0,2,voxelwise_rft
0.15,6.242197253433208e-05,2.25,0.1,2,voxelwise_rft
0.2,0.00012484394506866417,2.25,0.25,2,voxelwise_rft
0.3,0.0007490636704119849,2.25,0.5,2,voxelwise_rft
0.2,0.0004369538077403246,2.25,0.75,2,voxelwise_rft
0.15,0.0013108614232209736,2.25,1.0,2,voxelwise_rft
0.2,0.004619225967540575,2.25,1.25,2,voxelwise_rft
0.25,0.0004369538077403245,2.25,1.5,2,voxelwise_rft
0.2,0.0006242197253433209,2.25,1.75,2,voxelwise_rft
0.3,0.00037453183520599247,2.25,2.0,2,voxelwise_rft
0.25,0.00149812734082397,2.25,2.25,2,voxelwise_rft
0.15,0.0024344569288389513,2.25,2.5,2,voxelwise_rft
0.2,0.00037453183520599247,2.25,2.75,2,voxelwise_rft
0.15,0.0004369538077403246,2.25,3.0,2,voxelwise_rft
0.2,0.00021905805038335157,2.5,0.0,2,voxelwise_rft
0.1,0.0,2.5,0.1,2,voxelwise_rft
0.25,0.00043811610076670315,2.5,0.25,2,voxelwise_rft
0.35,0.0003285870755750274,2.5,0.5,2,voxelwise_rft
0.15,0.00010952902519167579,2.5,0.75,2,voxelwise_rft
0.3,0.0006571741511500548,2.5,1.0,2,voxelwise_rft
0.15,0.0002738225629791895,2.5,1.25,2,voxelwise_rft
0.15,0.0030120481927710845,2.5,1.5,2,voxelwise_rft
0.3,0.0030668127053669223,2.5,1.75,2,voxelwise_rft
0.1,0.0003833515881708653,2.5,2.0,2,voxelwise_rft
0.15,0.0002738225629791895,2.5,2.25,2,voxelwise_rft
0.35,0.003778751369112815,2.5,2.5,2,voxelwise_rft
0.2,0.0019715224534501644,2.5,2.75,2,voxelwise_rft
0.25,0.000547645125958379,2.5,3.0,2,voxelwise_rft
0.3,0.0006724303554274736,2.75,0.0,2,voxelwise_rft
0.35,0.0001440922190201729,2.75,0.1,2,voxelwise_rft
0.1,0.00019212295869356388,2.75,0.25,2,voxelwise_rft
0.15,4.803073967339097e-05,2.75,0.5,2,voxelwise_rft
0.35,0.0032660902977905857,2.75,0.75,2,voxelwise_rft
0.15,0.0005763688760806916,2.75,1.0,2,voxelwise_rft
0.2,0.012824207492795388,2.75,1.25,2,voxelwise_rft
0.25,0.0033621517771373678,2.75,1.5,2,voxelwise_rft
0.2,0.00024015369836695482,2.75,1.75,2,voxelwise_rft
0.3,0.0003362151777137368,2.75,2.0,2,voxelwise_rft
0.25,0.0005283381364073007,2.75,2.25,2,voxelwise_rft
0.1,0.00024015369836695482,2.75,2.5,2,voxelwise_rft
0.2,0.00043227665706051867,2.75,2.75,2,voxelwise_rft
0.25,0.0008165225744476463,2.75,3.0,2,voxelwise_rft
0.2,0.0012142237640936685,3.0,0.0,2,voxelwise_rft
0.4,0.00017346053772766696,3.0,0.1,2,voxelwise_rft
0.3,8.673026886383348e-05,3.0,0.25,2,voxelwise_rft
0.25,8.673026886383348e-05,3.0,0.5,2,voxelwise_rft
0.3,8.673026886383348e-05,3.0,0.75,2,voxelwise_rft
0.35,0.001951431049436253,3.0,1.0,2,voxelwise_rft
0.3,0.0024284475281873374,3.0,1.25,2,voxelwise_rft
0.25,0.0003035559410234172,3.0,1.5,2,voxelwise_rft
0.2,0.00039028620988725064,3.0,1.75,2,voxelwise_rft
0.25,0.00013009540329575022,3.0,2.0,2,voxelwise_rft
0.2,0.0009540329575021681,3.0,2.25,2,voxelwise_rft
0.2,0.0005637467476149175,3.0,2.5,2,voxelwise_rft
0.25,0.0043365134431916745,3.0,2.75,2,voxelwise_rft
0.2,0.0017346053772766697,3.0,3.0,2,voxelwise_rft
0.0,0.0,0.0,0.0,5,voxelwise_rft
0.0,0.0,0.0,0.1,5,voxelwise_rft
0.0,0.0,0.0,0.25,5,voxelwise_rft
0.0,0.0,0.0,0.5,5,voxelwise_rft
0.05,0.0,0.0,0.75,5,voxelwise_rft
0.0,0.0,0.0,1.0,5,voxelwise_rft
0.0,0.0,0.0,1.25,5,voxelwise_rft
0.0,0.0004424778761061947,0.0,1.5,5,voxelwise_rft
0.0,0.0,0.0,1.75,5,voxelwise_rft
0.0,0.001327433628318584,0.0,2.0,5,voxelwise_rft
0.0,0.0008849557522123894,0.0,2.25,5,voxelwise_rft
0.0,0.001327433628318584,0.0,2.5,5,voxelwise_rft
0.0,0.0008849557522123894,0.0,2.75,5,voxelwise_rft
0.05,0.0008849557522123894,0.0,3.0,5,voxelwise_rft
0.0,0.0,0.1,0.0,5,voxelwise_rft
0.0,0.0,0.1,0.1,5,voxelwise_rft
0.0,0.0,0.1,0.25,5,voxelwise_rft
0.0,0.0,0.1,0.5,5,voxelwise_rft
0.0,0.0,0.1,0.75,5,voxelwise_rft
0.0,0.0,0.1,1.0,5,voxelwise_rft
0.0,0.0,0.1,1.25,5,voxelwise_rft
0.0,0.0,0.1,1.5,5,voxelwise_rft
0.0,0.0,0.1,1.75,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,2.0,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,2.25,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,2.5,5,voxelwise_rft
0.0,0.0017699115044247787,0.1,2.75,5,voxelwise_rft
0.0,0.0008849557522123894,0.1,3.0,5,voxelwise_rft
0.0,0.0,0.25,0.0,5,voxelwise_rft
0.0,0.0,0.25,0.1,5,voxelwise_rft
0.0,0.0,0.25,0.25,5,voxelwise_rft
0.0,0.0,0.25,0.5,5,voxelwise_rft
0.0,0.0,0.25,0.75,5,voxelwise_rft
0.0,0.0,0.25,1.0,5,voxelwise_rft
0.05,0.0003355704697986577,0.25,1.25,5,voxelwise_rft
0.05,0.00604026845637584,0.25,1.5,5,voxelwise_rft
0.0,0.0,0.25,1.75,5,voxelwise_rft
0.0,0.0003355704697986577,0.25,2.0,5,voxelwise_rft
0.0,0.0003355704697986577,0.25,2.25,5,voxelwise_rft
0.0,0.0003355704697986577,0.25,2.5,5,voxelwise_rft
0.0,0.0006711409395973154,0.25,2.75,5,voxelwise_rft
0.0,0.0,0.25,3.0,5,voxelwise_rft
0.0,0.0,0.5,0.0,5,voxelwise_rft
0.0,0.0,0.5,0.1,5,voxelwise_rft
0.0,0.0,0.5,0.25,5,voxelwise_rft
0.0,0.0,0.5,0.5,5,voxelwise_rft
0.0,0.0,0.5,0.75,5,voxelwise_rft
0.05,0.0,0.5,1.0,5,voxelwise_rft
0.05,0.00023474178403755868,0.5,1.25,5,voxelwise_rft
0.0,0.0007042253521126761,0.5,1.5,5,voxelwise_rft
0.0,0.00046948356807511736,0.5,1.75,5,voxelwise_rft
0.0,0.001643192488262911,0.5,2.0,5,voxelwise_rft
0.0,0.0016431924882629105,0.5,2.25,5,voxelwise_rft
0.0,0.002112676056338028,0.5,2.5,5,voxelwise_rft
0.0,0.0028169014084507044,0.5,2.75,5,voxelwise_rft
0.0,0.005868544600938967,0.5,3.0,5,voxelwise_rft
0.05,0.0,0.75,0.0,5,voxelwise_rft
0.05,0.0,0.75,0.1,5,voxelwise_rft
0.0,0.0,0.75,0.25,5,voxelwise_rft
0.05,0.00017543859649122808,0.75,0.5,5,voxelwise_rft
0.05,0.00035087719298245617,0.75,0.75,5,voxelwise_rft
0.0,0.0005263157894736842,0.75,1.0,5,voxelwise_rft
0.0,0.0014035087719298247,0.75,1.25,5,voxelwise_rft
0.0,0.004210526315789474,0.75,1.5,5,voxelwise_rft
0.05,0.004736842105263157,0.75,1.75,5,voxelwise_rft
0.0,0.011754385964912281,0.75,2.0,5,voxelwise_rft
0.0,0.014736842105263154,0.75,2.25,5,voxelwise_rft
0.0,0.016842105263157894,0.75,2.5,5,voxelwise_rft
0.0,0.023859649122807018,0.75,2.75,5,voxelwise_rft
0.0,0.03456140350877193,0.75,3.0,5,voxelwise_rft
0.1,0.009312320916905443,1.0,0.0,5,voxelwise_rft
0.1,0.0,1.0,0.1,5,voxelwise_rft
0.05,0.0,1.0,0.25,5,voxelwise_rft
0.1,0.00028653295128939826,1.0,0.5,5,voxelwise_rft
0.05,0.0017191977077363897,1.0,0.75,5,voxelwise_rft
0.0,0.0027220630372492838,1.0,1.0,5,voxelwise_rft
0.05,0.004871060171919771,1.0,1.25,5,voxelwise_rft
0.05,0.007449856733524353,1.0,1.5,5,voxelwise_rft
0.1,0.017621776504297994,1.0,1.75,5,voxelwise_rft
0.1,0.028939828080229223,1.0,2.0,5,voxelwise_rft
0.0,0.04169054441260746,1.0,2.25,5,voxelwise_rft
0.0,0.05544412607449857,1.0,2.5,5,voxelwise_rft
0.0,0.07851002865329512,1.0,2.75,5,voxelwise_rft
0.05,0.09154727793696274,1.0,3.0,5,voxelwise_rft
0.0,0.0,1.25,0.0,5,voxelwise_rft
0.0,0.0,1.25,0.1,5,voxelwise_rft
0.05,0.0,1.25,0.25,5,voxelwise_rft
0.0,0.0006993006993006994,1.25,0.5,5,voxelwise_rft
0.05,0.0019813519813519816,1.25,0.75,5,voxelwise_rft
0.05,0.0066433566433566444,1.25,1.0,5,voxelwise_rft
0.0,0.013053613053613054,1.25,1.25,5,voxelwise_rft
0.0,0.022144522144522148,1.25,1.5,5,voxelwise_rft
0.1,0.03811188811188811,1.25,1.75,5,voxelwise_rft
0.05,0.08543123543123543,1.25,2.0,5,voxelwise_rft
0.05,0.07972027972027974,1.25,2.25,5,voxelwise_rft
0.05,0.09417249417249417,1.25,2.5,5,voxelwise_rft
0.05,0.12843822843822844,1.25,2.75,5,voxelwise_rft
0.05,0.14615384615384616,1.25,3.0,5,voxelwise_rft
