fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.0,0.0,2.5,3.0,2,Voxel-wise permutation,t
0.0,0.0,2.75,0.0,2,Voxel-wise permutation,t
0.0,0.0,2.75,0.1,2,Voxel-wise permutation,t
0.0,0.0,2.75,0.25,2,Voxel-wise permutation,t
0.0,0.0,2.75,0.5,2,Voxel-wise permutation,t
0.0,0.0,2.75,0.75,2,Voxel-wise permutation,t
0.0,0.0,2.75,1.0,2,Voxel-wise permutation,t
0.0,0.0,2.75,1.25,2,Voxel-wise permutation,t
0.0,0.0,2.75,1.5,2,Voxel-wise permutation,t
0.0,0.0,2.75,1.75,2,Voxel-wise permutation,t
0.0,0.0,2.75,2.0,2,Voxel-wise permutation,t
0.0,0.0,2.75,2.25,2,Voxel-wise permutation,t
0.0,0.0,2.75,2.5,2,Voxel-wise permutation,t
0.0,0.0,2.75,2.75,2,Voxel-wise permutation,t
0.0,0.0,2.75,3.0,2,Voxel-wise permutation,t
0.0,0.0,3.0,0.0,2,Voxel-wise permutation,t
0.0,0.0,3.0,0.1,2,Voxel-wise permutation,t
0.0,0.0,3.0,0.25,2,Voxel-wise permutation,t
0.0,0.0,3.0,0.5,2,Voxel-wise permutation,t
0.0,0.0,3.0,0.75,2,Voxel-wise permutation,t
0.0,0.0,3.0,1.0,2,Voxel-wise permutation,t
0.0,0.0,3.0,1.25,2,Voxel-wise permutation,t
0.0,0.0,3.0,1.5,2,Voxel-wise permutation,t
0.0,0.0,3.0,1.75,2,Voxel-wise permutation,t
0.0,0.0,3.0,2.0,2,Voxel-wise permutation,t
0.0,0.0,3.0,2.25,2,Voxel-wise permutation,t
0.0,0.0,3.0,2.5,2,Voxel-wise permutation,t
0.0,0.0,3.0,2.75,2,Voxel-wise permutation,t
0.0,0.0,3.0,3.0,2,Voxel-wise permutation,t
0.05,0.0,0.0,0.0,5,Voxel-wise permutation,t
0.05,0.0,0.0,0.1,5,Voxel-wise permutation,t
0.0,0.0,0.0,0.25,5,Voxel-wise permutation,t
0.05,0.0,0.0,0.5,5,Voxel-wise permutation,t
0.05,0.0,0.0,0.75,5,Voxel-wise permutation,t
0.0,0.0,0.0,1.0,5,Voxel-wise permutation,t
0.05,0.0,0.0,1.25,5,Voxel-wise permutation,t
0.05,0.0008849557522123894,0.0,1.5,5,Voxel-wise permutation,t
0.0,0.0008849557522123894,0.0,1.75,5,Voxel-wise permutation,t
0.1,0.0008849557522123894,0.0,2.0,5,Voxel-wise permutation,t
0.1,0.0035398230088495575,0.0,2.25,5,Voxel-wise permutation,t
0.05,0.003097345132743363,0.0,2.5,5,Voxel-wise permutation,t
0.05,0.003097345132743363,0.0,2.75,5,Voxel-wise permutation,t
0.0,0.007079646017699115,0.0,3.0,5,Voxel-wise permutation,t
0.0,0.0,0.1,0.0,5,Voxel-wise permutation,t
0.05,0.0,0.1,0.1,5,Voxel-wise permutation,t
0.05,0.0,0.1,0.25,5,Voxel-wise permutation,t
0.05,0.0,0.1,0.5,5,Voxel-wise permutation,t
0.05,0.0,0.1,0.75,5,Voxel-wise permutation,t
0.05,0.0,0.1,1.0,5,Voxel-wise permutation,t
0.05,0.0004424778761061947,0.1,1.25,5,Voxel-wise permutation,t
0.0,0.0,0.1,1.5,5,Voxel-wise permutation,t
0.1,0.0004424778761061947,0.1,1.75,5,Voxel-wise permutation,t
0.05,0.0008849557522123894,0.1,2.0,5,Voxel-wise permutation,t
0.05,0.0017699115044247787,0.1,2.25,5,Voxel-wise permutation,t
0.0,0.005752212389380531,0.1,2.5,5,Voxel-wise permutation,t
0.1,0.0048672566371681415,0.1,2.75,5,Voxel-wise permutation,t
0.05,0.0048672566371681415,0.1,3.0,5,Voxel-wise permutation,t
0.05,0.0,0.25,0.0,5,Voxel-wise permutation,t
0.05,0.0,0.25,0.1,5,Voxel-wise permutation,t
0.05,0.0,0.25,0.25,5,Voxel-wise permutation,t
0.05,0.0,0.25,0.5,5,Voxel-wise permutation,t
0.15,0.0,0.25,0.75,5,Voxel-wise permutation,t
0.05,0.0004424778761061947,0.25,1.0,5,Voxel-wise permutation,t
