FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
0.0,0.0,0.0,0.0,2,Clusterwise RFT,3.2,2.336099428123344
0.0,0.0,0.0,0.0,5,Clusterwise RFT,3.2,2.3494741635623657
0.0,0.0,0.0,0.0,7,Clusterwise RFT,3.2,2.3536219694101614
0.0,0.0,0.0,0.0,10,Clusterwise RFT,3.2,2.356392091126839
0.0,0.0,0.0,0.0,15,Clusterwise RFT,3.2,2.3471846612115486
0.0,0.0,0.0,0.0,20,Clusterwise RFT,3.2,2.3615540366988967
0.0,0.0,0.0,0.0,30,Clusterwise RFT,3.2,2.354199632254916
0.0,0.0,0.0,0.0,45,Clusterwise RFT,3.2,2.35797302723762
0.0,0.0,0.0,0.0,60,Clusterwise RFT,3.2,2.35750368396544
0.0,0.0,0.0,0.1,2,Clusterwise RFT,3.2,2.3575218590815648
0.0,0.0,0.0,0.1,5,Clusterwise RFT,3.2,2.3485427145743185
0.0,0.0,0.0,0.1,7,Clusterwise RFT,3.2,2.346309590202888
0.0,0.0,0.0,0.1,10,Clusterwise RFT,3.2,2.352809272724269
0.0,0.0,0.0,0.1,15,Clusterwise RFT,3.2,2.354902489093857
0.0,0.0,0.0,0.1,20,Clusterwise RFT,3.2,2.3473746576578196
0.0,0.0,0.0,0.1,30,Clusterwise RFT,3.2,2.353570466415964
0.0,0.0,0.0,0.1,45,Clusterwise RFT,3.2,2.355012064950115
0.0,0.0,0.0,0.1,60,Clusterwise RFT,3.2,2.353668740939485
0.0,0.0,0.0,0.25,2,Clusterwise RFT,3.2,2.3330473682788404
0.0,0.0,0.0,0.25,5,Clusterwise RFT,3.2,2.3456074231397914
0.0,0.0,0.0,0.25,7,Clusterwise RFT,3.2,2.334363980353301
0.0,0.0,0.0,0.25,10,Clusterwise RFT,3.2,2.3570016299031638
0.0,0.0,0.0,0.25,15,Clusterwise RFT,3.2,2.350085243724916
0.0,0.0,0.0,0.25,20,Clusterwise RFT,3.2,2.351698925437371
0.0,0.0,0.0,0.25,30,Clusterwise RFT,3.2,2.3568571335488437
0.0,0.0,0.0,0.25,45,Clusterwise RFT,3.2,2.359986541266088
0.0,0.0,0.0,0.25,60,Clusterwise RFT,3.2,2.3534702547087156
0.0,0.0,0.0,0.5,2,Clusterwise RFT,3.2,2.3716183103317507
0.0,0.0,0.0,0.5,5,Clusterwise RFT,3.2,2.3632661044420247
0.0,0.0,0.0,0.5,7,Clusterwise RFT,3.2,2.3557854426492986
0.0,0.0,0.0,0.5,10,Clusterwise RFT,3.2,2.3588169947665394
0.0,0.0,0.0,0.5,15,Clusterwise RFT,3.2,2.3540592315057904
0.0,0.0,0.0,0.5,20,Clusterwise RFT,3.2,2.35485475259654
0.0,0.0,0.0,0.5,30,Clusterwise RFT,3.2,2.3547467154048802
0.0,0.0,0.0,0.5,45,Clusterwise RFT,3.2,2.355486931912397
0.0,3.5398230088495574e-05,0.0,0.5,60,Clusterwise RFT,3.2,2.352123046783502
0.0,0.0,0.0,0.75,2,Clusterwise RFT,3.2,2.34821282485352
0.0,0.0,0.0,0.75,5,Clusterwise RFT,3.2,2.345545458290315
0.0,0.0,0.0,0.75,7,Clusterwise RFT,3.2,2.3641301531838157
0.0,0.0,0.0,0.75,10,Clusterwise RFT,3.2,2.358558929776663
0.0,0.0,0.0,0.75,15,Clusterwise RFT,3.2,2.3538410270352066
0.0,0.0,0.0,0.75,20,Clusterwise RFT,3.2,2.366959328377156
0.0,9.43952802359882e-05,0.0,0.75,30,Clusterwise RFT,3.2,2.360233870422897
0.0006666666666667043,0.002336283185840708,0.0,0.75,45,Clusterwise RFT,3.2,2.3554015216656947
0.0,0.011823008849557523,0.0,0.75,60,Clusterwise RFT,3.2,2.3505384473732036
0.0,0.0,0.0,1.0,2,Clusterwise RFT,3.2,2.3795430642221183
0.0,0.0,0.0,1.0,5,Clusterwise RFT,3.2,2.36200459148338
0.0,0.0,0.0,1.0,7,Clusterwise RFT,3.2,2.356584129933314
0.0,2.949852507374631e-05,0.0,1.0,10,Clusterwise RFT,3.2,2.352772517258997
0.0,0.00015339233038348082,0.0,1.0,15,Clusterwise RFT,3.2,2.351960176969451
0.0,0.0010265486725663717,0.0,1.0,20,Clusterwise RFT,3.2,2.3574151494983053
0.0,0.010194690265486726,0.0,1.0,30,Clusterwise RFT,3.2,2.3598851155894764
0.0006666666666667043,0.06707964601769911,0.0,1.0,45,Clusterwise RFT,3.2,2.3586973833649028
0.0040000000000000036,0.18100884955752214,0.0,1.0,60,Clusterwise RFT,3.2,2.3528982046557223
0.0,0.0,0.0,1.25,2,Clusterwise RFT,3.2,2.3713695941969397
0.0,0.0,0.0,1.25,5,Clusterwise RFT,3.2,2.34684276964977
0.0,2.949852507374631e-05,0.0,1.25,7,Clusterwise RFT,3.2,2.3525729573610206
0.0,0.000359882005899705,0.0,1.25,10,Clusterwise RFT,3.2,2.365641808115856
0.0,0.004353982300884956,0.0,1.25,15,Clusterwise RFT,3.2,2.3489243730973626
0.0006666666666667043,0.01574631268436578,0.0,1.25,20,Clusterwise RFT,3.2,2.3535058330142125
0.0,0.09187610619469026,0.0,1.25,30,Clusterwise RFT,3.2,2.347793858680765
0.0013333333333332975,0.28532153392330384,0.0,1.25,45,Clusterwise RFT,3.2,2.3558071433559453
0.011333333333333306,0.47575221238938054,0.0,1.25,60,Clusterwise RFT,3.2,2.354039021372967
0.0,0.0,0.0,1.5,2,Clusterwise RFT,3.2,2.356589381484174
0.0,0.0,0.0,1.5,5,Clusterwise RFT,3.2,2.353551738728259
0.0006666666666667043,0.0003421828908554572,0.0,1.5,7,Clusterwise RFT,3.2,2.365315829804151
0.0,0.0031091445427728613,0.0,1.5,10,Clusterwise RFT,3.2,2.3601118638495313
0.0,0.027339233038348083,0.0,1.5,15,Clusterwise RFT,3.2,2.350588274982519
0.0,0.08493805309734513,0.0,1.5,20,Clusterwise RFT,3.2,2.356586714245019
0.0,0.26766961651917404,0.0,1.5,30,Clusterwise RFT,3.2,2.3528192929705045
0.007333333333333303,0.5180884955752213,0.0,1.5,45,Clusterwise RFT,3.2,2.360803454689108
0.011333333333333306,0.6994454277286136,0.0,1.5,60,Clusterwise RFT,3.2,2.353667933224217
0.0,0.0,0.0,1.75,2,Clusterwise RFT,3.2,2.3547368064620895
0.0,2.949852507374631e-05,0.0,1.75,5,Clusterwise RFT,3.2,2.347994156227715
0.0,0.0015162241887905607,0.0,1.75,7,Clusterwise RFT,3.2,2.3544368834129057
0.0006666666666667043,0.016300884955752215,0.0,1.75,10,Clusterwise RFT,3.2,2.3548872375255296
0.0013333333333332975,0.09369321533923304,0.0,1.75,15,Clusterwise RFT,3.2,2.3569472781623966
0.0013333333333332975,0.21703244837758112,0.0,1.75,20,Clusterwise RFT,3.2,2.357313899798951
0.0040000000000000036,0.44736873156342183,0.0,1.75,30,Clusterwise RFT,3.2,2.3571856294931437
0.00666666666666671,0.6944896755162242,0.0,1.75,45,Clusterwise RFT,3.2,2.354268813906223
0.009333333333333305,0.8481769911504423,0.0,1.75,60,Clusterwise RFT,3.2,2.354592080609851
0.0,0.0,0.0,2.0,2,Clusterwise RFT,3.2,2.3402090606201336
0.0,0.00020648967551622417,0.0,2.0,5,Clusterwise RFT,3.2,2.3572138783009877
0.0,0.005764011799410031,0.0,2.0,7,Clusterwise RFT,3.2,2.3415663543174134
0.0013333333333332975,0.05288495575221238,0.0,2.0,10,Clusterwise RFT,3.2,2.3511976844107565
0.0013333333333332975,0.20251917404129793,0.0,2.0,15,Clusterwise RFT,3.2,2.356208303615583
0.0040000000000000036,0.36112684365781716,0.0,2.0,20,Clusterwise RFT,3.2,2.3582663157121897
0.008000000000000007,0.5940530973451328,0.0,2.0,30,Clusterwise RFT,3.2,2.350560466759948
0.011333333333333306,0.8231504424778762,0.0,2.0,45,Clusterwise RFT,3.2,2.352591697760529
0.01733333333333331,0.934849557522124,0.0,2.0,60,Clusterwise RFT,3.2,2.3540500668072752
0.0,0.0,0.0,2.25,2,Clusterwise RFT,3.2,2.368033135128429
0.0,0.0006548672566371681,0.0,2.25,5,Clusterwise RFT,3.2,2.3491704669976174
0.0006666666666667043,0.01870206489675516,0.0,2.25,7,Clusterwise RFT,3.2,2.3471505597479423
0.0006666666666667043,0.11066076696165192,0.0,2.25,10,Clusterwise RFT,3.2,2.352710024204921
0.0033333333333332993,0.31339233038348085,0.0,2.25,15,Clusterwise RFT,3.2,2.363080728458306
0.002666666666666706,0.4824247787610619,0.0,2.25,20,Clusterwise RFT,3.2,2.360337630588216
0.0033333333333332993,0.7111976401179942,0.0,2.25,30,Clusterwise RFT,3.2,2.3560530593352027
0.009333333333333305,0.9067669616519173,0.0,2.25,45,Clusterwise RFT,3.2,2.3548749096415342
0.020000000000000018,0.9754808259587019,0.0,2.25,60,Clusterwise RFT,3.2,2.3560195995196933
0.0,0.0,0.0,2.5,2,Clusterwise RFT,3.2,2.352685583488996
0.0,0.001887905604719764,0.0,2.5,5,Clusterwise RFT,3.2,2.3538227501220517
0.0,0.04325663716814159,0.0,2.5,7,Clusterwise RFT,3.2,2.3629935168459744
0.0006666666666667043,0.18866666666666668,0.0,2.5,10,Clusterwise RFT,3.2,2.3609198733309587
0.0033333333333332993,0.42223598820059005,0.0,2.5,15,Clusterwise RFT,3.2,2.3551971750345846
0.0040000000000000036,0.5840058997050147,0.0,2.5,20,Clusterwise RFT,3.2,2.3583980684940724
0.005333333333333301,0.8032271386430678,0.0,2.5,30,Clusterwise RFT,3.2,2.3470094606715004
0.011333333333333306,0.955976401179941,0.0,2.5,45,Clusterwise RFT,3.2,2.3570813360715364
0.01733333333333331,0.9927905604719762,0.0,2.5,60,Clusterwise RFT,3.2,2.3532847448042906
0.0,0.0,0.0,2.75,2,Clusterwise RFT,3.2,2.370152368615584
0.0,0.006348082595870206,0.0,2.75,5,Clusterwise RFT,3.2,2.3540774592981144
0.0013333333333332975,0.08337463126843658,0.0,2.75,7,Clusterwise RFT,3.2,2.359669452643392
0.0020000000000000018,0.2697463126843658,0.0,2.75,10,Clusterwise RFT,3.2,2.3607386319667856
0.0040000000000000036,0.5111858407079646,0.0,2.75,15,Clusterwise RFT,3.2,2.3602345576862422
0.005333333333333301,0.6684601769911505,0.0,2.75,20,Clusterwise RFT,3.2,2.3552893274045577
0.0040000000000000036,0.8740825958702065,0.0,2.75,30,Clusterwise RFT,3.2,2.357285881430874
